# S1 S2 MSE_normalized
# Original MSE range: min=0.00000e+00, max=1.20474e+00
0.00 0.00 0.00000
0.00 0.10 0.00000
0.00 0.20 0.00000
0.00 0.30 0.00000
0.00 0.40 0.00000
0.00 0.50 0.00000
0.00 0.60 0.00000
0.00 0.70 0.00000
0.00 0.80 0.00000
0.00 0.90 0.00000
0.00 1.00 0.00000
0.00 1.10 0.00000
0.00 1.20 0.00000
0.00 1.30 0.00000
0.00 1.40 0.00000
0.00 1.50 0.00000
0.00 1.60 0.00000
0.00 1.70 0.00000
0.00 1.80 0.00000
0.00 1.90 0.00000
0.00 2.00 0.00000
0.00 2.10 0.00000
0.00 2.20 0.00000
0.00 2.30 0.00000
0.00 2.40 0.00000
0.00 2.50 0.00000
0.00 2.60 0.00000
0.00 2.70 0.00000
0.00 2.80 0.00000
0.00 2.90 0.00000
0.00 3.00 0.00000

0.10 0.00 0.00775
0.10 0.10 0.00005
0.10 0.20 0.00257
0.10 0.30 0.00273
0.10 0.40 0.00284
0.10 0.50 0.00298
0.10 0.60 0.00320
0.10 0.70 0.00278
0.10 0.80 0.00221
0.10 0.90 0.00254
0.10 1.00 0.00252
0.10 1.10 0.00298
0.10 1.20 0.00242
0.10 1.30 0.00269
0.10 1.40 0.00272
0.10 1.50 0.00272
0.10 1.60 0.00275
0.10 1.70 0.00257
0.10 1.80 0.00268
0.10 1.90 0.00283
0.10 2.00 0.00292
0.10 2.10 0.00284
0.10 2.20 0.00320
0.10 2.30 0.00311
0.10 2.40 0.00267
0.10 2.50 0.00287
0.10 2.60 0.00276
0.10 2.70 0.00268
0.10 2.80 0.00219
0.10 2.90 0.00300
0.10 3.00 0.00302

0.20 0.00 0.02964
0.20 0.10 0.00725
0.20 0.20 0.00002
0.20 0.30 0.00754
0.20 0.40 0.00864
0.20 0.50 0.00809
0.20 0.60 0.00869
0.20 0.70 0.00831
0.20 0.80 0.00790
0.20 0.90 0.00945
0.20 1.00 0.00764
0.20 1.10 0.00868
0.20 1.20 0.00918
0.20 1.30 0.00822
0.20 1.40 0.00866
0.20 1.50 0.00880
0.20 1.60 0.00653
0.20 1.70 0.00777
0.20 1.80 0.00977
0.20 1.90 0.00974
0.20 2.00 0.00870
0.20 2.10 0.00899
0.20 2.20 0.01012
0.20 2.30 0.00916
0.20 2.40 0.01050
0.20 2.50 0.00918
0.20 2.60 0.00822
0.20 2.70 0.00999
0.20 2.80 0.00835
0.20 2.90 0.00827
0.20 3.00 0.01221

0.30 0.00 0.06285
0.30 0.10 0.02802
0.30 0.20 0.00852
0.30 0.30 0.00000
0.30 0.40 0.01336
0.30 0.50 0.01695
0.30 0.60 0.01944
0.30 0.70 0.01619
0.30 0.80 0.01456
0.30 0.90 0.01708
0.30 1.00 0.02175
0.30 1.10 0.01848
0.30 1.20 0.01648
0.30 1.30 0.01651
0.30 1.40 0.01745
0.30 1.50 0.01558
0.30 1.60 0.01721
0.30 1.70 0.01895
0.30 1.80 0.01794
0.30 1.90 0.01710
0.30 2.00 0.01793
0.30 2.10 0.01655
0.30 2.20 0.02251
0.30 2.30 0.01699
0.30 2.40 0.01620
0.30 2.50 0.01867
0.30 2.60 0.01565
0.30 2.70 0.01771
0.30 2.80 0.02130
0.30 2.90 0.01655
0.30 3.00 0.02006

0.40 0.00 0.10167
0.40 0.10 0.05966
0.40 0.20 0.02595
0.40 0.30 0.01304
0.40 0.40 0.00000
0.40 0.50 0.01422
0.40 0.60 0.02205
0.40 0.70 0.02416
0.40 0.80 0.02755
0.40 0.90 0.02442
0.40 1.00 0.02532
0.40 1.10 0.02636
0.40 1.20 0.02251
0.40 1.30 0.02575
0.40 1.40 0.02192
0.40 1.50 0.02751
0.40 1.60 0.02621
0.40 1.70 0.02826
0.40 1.80 0.02868
0.40 1.90 0.02616
0.40 2.00 0.02640
0.40 2.10 0.02679
0.40 2.20 0.02470
0.40 2.30 0.02150
0.40 2.40 0.02696
0.40 2.50 0.02285
0.40 2.60 0.02723
0.40 2.70 0.02951
0.40 2.80 0.02523
0.40 2.90 0.02461
0.40 3.00 0.02173

0.50 0.00 0.14946
0.50 0.10 0.09582
0.50 0.20 0.05420
0.50 0.30 0.02820
0.50 0.40 0.01360
0.50 0.50 0.00000
0.50 0.60 0.01614
0.50 0.70 0.02588
0.50 0.80 0.02946
0.50 0.90 0.02742
0.50 1.00 0.03249
0.50 1.10 0.04038
0.50 1.20 0.02938
0.50 1.30 0.02907
0.50 1.40 0.03245
0.50 1.50 0.03102
0.50 1.60 0.04246
0.50 1.70 0.03765
0.50 1.80 0.03194
0.50 1.90 0.03838
0.50 2.00 0.03250
0.50 2.10 0.04113
0.50 2.20 0.03710
0.50 2.30 0.03302
0.50 2.40 0.03160
0.50 2.50 0.03663
0.50 2.60 0.03247
0.50 2.70 0.03439
0.50 2.80 0.04138
0.50 2.90 0.04514
0.50 3.00 0.03196

0.60 0.00 0.20806
0.60 0.10 0.12051
0.60 0.20 0.09202
0.60 0.30 0.05318
0.60 0.40 0.03592
0.60 0.50 0.03137
0.60 0.60 0.00000
0.60 0.70 0.01212
0.60 0.80 0.02438
0.60 0.90 0.02915
0.60 1.00 0.02913
0.60 1.10 0.03782
0.60 1.20 0.04884
0.60 1.30 0.03888
0.60 1.40 0.04405
0.60 1.50 0.04319
0.60 1.60 0.03667
0.60 1.70 0.04043
0.60 1.80 0.03481
0.60 1.90 0.03624
0.60 2.00 0.03302
0.60 2.10 0.04133
0.60 2.20 0.04367
0.60 2.30 0.04425
0.60 2.40 0.03755
0.60 2.50 0.03812
0.60 2.60 0.04115
0.60 2.70 0.03139
0.60 2.80 0.03661
0.60 2.90 0.05558
0.60 3.00 0.04257

0.70 0.00 0.26211
0.70 0.10 0.21225
0.70 0.20 0.11800
0.70 0.30 0.08186
0.70 0.40 0.05659
0.70 0.50 0.04184
0.70 0.60 0.04657
0.70 0.70 0.00000
0.70 0.80 0.01121
0.70 0.90 0.02134
0.70 1.00 0.02883
0.70 1.10 0.03448
0.70 1.20 0.04207
0.70 1.30 0.04763
0.70 1.40 0.04173
0.70 1.50 0.04138
0.70 1.60 0.03809
0.70 1.70 0.03852
0.70 1.80 0.03747
0.70 1.90 0.05247
0.70 2.00 0.03707
0.70 2.10 0.05048
0.70 2.20 0.04452
0.70 2.30 0.04080
0.70 2.40 0.04884
0.70 2.50 0.05088
0.70 2.60 0.03779
0.70 2.70 0.03811
0.70 2.80 0.03570
0.70 2.90 0.03737
0.70 3.00 0.04493

0.80 0.00 0.36784
0.80 0.10 0.21391
0.80 0.20 0.14869
0.80 0.30 0.11235
0.80 0.40 0.08068
0.80 0.50 0.05895
0.80 0.60 0.05626
0.80 0.70 0.06951
0.80 0.80 0.00000
0.80 0.90 0.01004
0.80 1.00 0.01973
0.80 1.10 0.02668
0.80 1.20 0.03170
0.80 1.30 0.03725
0.80 1.40 0.03532
0.80 1.50 0.04399
0.80 1.60 0.05219
0.80 1.70 0.04591
0.80 1.80 0.04395
0.80 1.90 0.03697
0.80 2.00 0.03889
0.80 2.10 0.03697
0.80 2.20 0.05394
0.80 2.30 0.05085
0.80 2.40 0.07055
0.80 2.50 0.04488
0.80 2.60 0.05049
0.80 2.70 0.04033
0.80 2.80 0.05290
0.80 2.90 0.04791
0.80 3.00 0.05748

0.90 0.00 0.36722
0.90 0.10 0.31284
0.90 0.20 0.20752
0.90 0.30 0.10079
0.90 0.40 0.10791
0.90 0.50 0.09008
0.90 0.60 0.07605
0.90 0.70 0.08509
0.90 0.80 0.04896
0.90 0.90 0.00000
0.90 1.00 0.00870
0.90 1.10 0.01768
0.90 1.20 0.02558
0.90 1.30 0.03766
0.90 1.40 0.03953
0.90 1.50 0.04465
0.90 1.60 0.04431
0.90 1.70 0.03550
0.90 1.80 0.04436
0.90 1.90 0.04277
0.90 2.00 0.04871
0.90 2.10 0.03782
0.90 2.20 0.04327
0.90 2.30 0.06509
0.90 2.40 0.04005
0.90 2.50 0.05990
0.90 2.60 0.06026
0.90 2.70 0.05849
0.90 2.80 0.02845
0.90 2.90 0.03371
0.90 3.00 0.03754

1.00 0.00 0.43482
1.00 0.10 0.31182
1.00 0.20 0.23380
1.00 0.30 0.20908
1.00 0.40 0.15898
1.00 0.50 0.10324
1.00 0.60 0.09187
1.00 0.70 0.11501
1.00 0.80 0.09548
1.00 0.90 0.03100
1.00 1.00 0.00000
1.00 1.10 0.00638
1.00 1.20 0.01580
1.00 1.30 0.02592
1.00 1.40 0.02247
1.00 1.50 0.03388
1.00 1.60 0.03643
1.00 1.70 0.03206
1.00 1.80 0.03595
1.00 1.90 0.04410
1.00 2.00 0.05196
1.00 2.10 0.03741
1.00 2.20 0.04946
1.00 2.30 0.02648
1.00 2.40 0.04223
1.00 2.50 0.03610
1.00 2.60 0.03038
1.00 2.70 0.03809
1.00 2.80 0.04509
1.00 2.90 0.03582
1.00 3.00 0.04580

1.10 0.00 0.51536
1.10 0.10 0.40727
1.10 0.20 0.32853
1.10 0.30 0.26018
1.10 0.40 0.17772
1.10 0.50 0.15098
1.10 0.60 0.12877
1.10 0.70 0.13185
1.10 0.80 0.13379
1.10 0.90 0.13625
1.10 1.00 0.01673
1.10 1.10 0.00000
1.10 1.20 0.00495
1.10 1.30 0.01179
1.10 1.40 0.02164
1.10 1.50 0.02568
1.10 1.60 0.03238
1.10 1.70 0.02625
1.10 1.80 0.03481
1.10 1.90 0.03112
1.10 2.00 0.04256
1.10 2.10 0.05943
1.10 2.20 0.03370
1.10 2.30 0.03435
1.10 2.40 0.05230
1.10 2.50 0.06104
1.10 2.60 0.03715
1.10 2.70 0.04891
1.10 2.80 0.04777
1.10 2.90 0.02790
1.10 3.00 0.03643

1.20 0.00 0.49783
1.20 0.10 0.35281
1.20 0.20 0.31000
1.20 0.30 0.27722
1.20 0.40 0.17879
1.20 0.50 0.17550
1.20 0.60 0.14571
1.20 0.70 0.14210
1.20 0.80 0.11174
1.20 0.90 0.18129
1.20 1.00 0.07133
1.20 1.10 0.00908
1.20 1.20 0.00000
1.20 1.30 0.00403
1.20 1.40 0.01008
1.20 1.50 0.01733
1.20 1.60 0.02373
1.20 1.70 0.02757
1.20 1.80 0.02583
1.20 1.90 0.03019
1.20 2.00 0.02983
1.20 2.10 0.02706
1.20 2.20 0.04778
1.20 2.30 0.03326
1.20 2.40 0.03637
1.20 2.50 0.02977
1.20 2.60 0.04154
1.20 2.70 0.03888
1.20 2.80 0.06260
1.20 2.90 0.06866
1.20 3.00 0.03289

1.30 0.00 0.60614
1.30 0.10 0.39183
1.30 0.20 0.35230
1.30 0.30 0.28048
1.30 0.40 0.24634
1.30 0.50 0.20209
1.30 0.60 0.15451
1.30 0.70 0.15053
1.30 0.80 0.16081
1.30 0.90 0.14964
1.30 1.00 0.20763
1.30 1.10 0.03435
1.30 1.20 0.00549
1.30 1.30 0.00000
1.30 1.40 0.00304
1.30 1.50 0.00679
1.30 1.60 0.01180
1.30 1.70 0.01409
1.30 1.80 0.02639
1.30 1.90 0.02580
1.30 2.00 0.02330
1.30 2.10 0.03143
1.30 2.20 0.03970
1.30 2.30 0.02217
1.30 2.40 0.03145
1.30 2.50 0.03212
1.30 2.60 0.02708
1.30 2.70 0.01848
1.30 2.80 0.03118
1.30 2.90 0.02797
1.30 3.00 0.04691

1.40 0.00 0.58373
1.40 0.10 0.49385
1.40 0.20 0.39912
1.40 0.30 0.31747
1.40 0.40 0.24579
