# S1 S2 MSE_normalized
# Original MSE range: min=7.31772e-02, max=1.29563e+00
0.00 0.00 0.01424
0.00 0.10 0.01690
0.00 0.20 0.01052
0.00 0.30 0.02297
0.00 0.40 0.03116
0.00 0.50 0.03365
0.00 0.60 0.02710
0.00 0.70 0.00618
0.00 0.80 0.05175
0.00 0.90 0.04703
0.00 1.00 0.04013
0.00 1.10 0.00973
0.00 1.20 0.01956
0.00 1.30 0.01781
0.00 1.40 0.03877
0.00 1.50 0.02252
0.00 1.60 0.03003
0.00 1.70 0.01569
0.00 1.80 0.01457
0.00 1.90 0.03299
0.00 2.00 0.02585
0.00 2.10 0.03133
0.00 2.20 0.03146
0.00 2.30 0.03555
0.00 2.40 0.02176
0.00 2.50 0.03977
0.00 2.60 0.02582
0.00 2.70 0.04966
0.00 2.80 0.01727
0.00 2.90 0.01834
0.00 3.00 0.02940

0.10 0.00 0.01488
0.10 0.10 0.00000
0.10 0.20 0.02724
0.10 0.30 0.01845
0.10 0.40 0.05253
0.10 0.50 0.03420
0.10 0.60 0.04640
0.10 0.70 0.01797
0.10 0.80 0.01347
0.10 0.90 0.01974
0.10 1.00 0.00963
0.10 1.10 0.03123
0.10 1.20 0.03823
0.10 1.30 0.02057
0.10 1.40 0.03305
0.10 1.50 0.04095
0.10 1.60 0.05535
0.10 1.70 0.01251
0.10 1.80 0.03973
0.10 1.90 0.02355
0.10 2.00 0.00151
0.10 2.10 0.02690
0.10 2.20 0.03390
0.10 2.30 0.01406
0.10 2.40 0.00066
0.10 2.50 0.02918
0.10 2.60 0.05461
0.10 2.70 0.02788
0.10 2.80 0.02652
0.10 2.90 0.00924
0.10 3.00 0.01841

0.20 0.00 0.02810
0.20 0.10 0.02043
0.20 0.20 0.02768
0.20 0.30 0.02031
0.20 0.40 0.05151
0.20 0.50 0.01420
0.20 0.60 0.02518
0.20 0.70 0.01188
0.20 0.80 0.02155
0.20 0.90 0.03050
0.20 1.00 0.07938
0.20 1.10 0.03420
0.20 1.20 0.04749
0.20 1.30 0.04137
0.20 1.40 0.06233
0.20 1.50 0.03071
0.20 1.60 0.03266
0.20 1.70 0.04797
0.20 1.80 0.03764
0.20 1.90 0.01993
0.20 2.00 0.02198
0.20 2.10 0.03761
0.20 2.20 0.04775
0.20 2.30 0.03201
0.20 2.40 0.04642
0.20 2.50 0.02583
0.20 2.60 0.03403
0.20 2.70 0.02128
0.20 2.80 0.03947
0.20 2.90 0.04778
0.20 3.00 0.03122

0.30 0.00 0.09598
0.30 0.10 0.06177
0.30 0.20 0.03511
0.30 0.30 0.01192
0.30 0.40 0.05388
0.30 0.50 0.04474
0.30 0.60 0.03903
0.30 0.70 0.05712
0.30 0.80 0.05051
0.30 0.90 0.09536
0.30 1.00 0.06509
0.30 1.10 0.04398
0.30 1.20 0.04284
0.30 1.30 0.04944
0.30 1.40 0.04549
0.30 1.50 0.03278
0.30 1.60 0.04690
0.30 1.70 0.04633
0.30 1.80 0.03448
0.30 1.90 0.05509
0.30 2.00 0.09746
0.30 2.10 0.05261
0.30 2.20 0.08168
0.30 2.30 0.05153
0.30 2.40 0.06919
0.30 2.50 0.06039
0.30 2.60 0.04746
0.30 2.70 0.05976
0.30 2.80 0.04337
0.30 2.90 0.05296
0.30 3.00 0.04083

0.40 0.00 0.10620
0.40 0.10 0.10144
0.40 0.20 0.03544
0.40 0.30 0.01697
0.40 0.40 0.00627
0.40 0.50 0.04620
0.40 0.60 0.03360
0.40 0.70 0.08063
0.40 0.80 0.03495
0.40 0.90 0.07905
0.40 1.00 0.05485
0.40 1.10 0.03922
0.40 1.20 0.04399
0.40 1.30 0.05606
0.40 1.40 0.04105
0.40 1.50 0.03789
0.40 1.60 0.04862
0.40 1.70 0.05314
