# S1 S2 MSE
0.00 0.00 0.00000
0.00 0.10 0.00000
0.00 0.20 0.00000
0.00 0.30 0.00000
0.00 0.40 0.00000
0.00 0.50 0.00000
0.00 0.60 0.00000
0.00 0.70 0.00000
0.00 0.80 0.00000
0.00 0.90 0.00000
0.00 1.00 0.00000
0.00 1.10 0.00000
0.00 1.20 0.00000
0.00 1.30 0.00000
0.00 1.40 0.00000
0.00 1.50 0.00000
0.00 1.60 0.00000
0.00 1.70 0.00000
0.00 1.80 0.00000
0.00 1.90 0.00000
0.00 2.00 0.00000
0.00 2.10 0.00000
0.00 2.20 0.00000
0.00 2.30 0.00000
0.00 2.40 0.00000
0.00 2.50 0.00000
0.00 2.60 0.00000
0.00 2.70 0.00000
0.00 2.80 0.00000
0.00 2.90 0.00000
0.00 3.00 0.00000

0.10 0.00 0.00933
0.10 0.10 0.00006
0.10 0.20 0.00310
0.10 0.30 0.00329
0.10 0.40 0.00342
0.10 0.50 0.00359
0.10 0.60 0.00386
0.10 0.70 0.00334
0.10 0.80 0.00266
0.10 0.90 0.00306
0.10 1.00 0.00303
0.10 1.10 0.00359
0.10 1.20 0.00291
0.10 1.30 0.00324
0.10 1.40 0.00328
0.10 1.50 0.00328
0.10 1.60 0.00332
0.10 1.70 0.00309
0.10 1.80 0.00322
0.10 1.90 0.00341
0.10 2.00 0.00352
0.10 2.10 0.00342
0.10 2.20 0.00385
0.10 2.30 0.00375
0.10 2.40 0.00321
0.10 2.50 0.00346
0.10 2.60 0.00333
0.10 2.70 0.00323
0.10 2.80 0.00263
0.10 2.90 0.00361
0.10 3.00 0.00364

0.20 0.00 0.03571
0.20 0.10 0.00873
0.20 0.20 0.00002
0.20 0.30 0.00909
0.20 0.40 0.01041
0.20 0.50 0.00975
0.20 0.60 0.01047
0.20 0.70 0.01001
0.20 0.80 0.00952
0.20 0.90 0.01138
0.20 1.00 0.00921
0.20 1.10 0.01045
0.20 1.20 0.01106
0.20 1.30 0.00990
0.20 1.40 0.01044
0.20 1.50 0.01060
0.20 1.60 0.00787
0.20 1.70 0.00936
0.20 1.80 0.01177
0.20 1.90 0.01174
0.20 2.00 0.01048
0.20 2.10 0.01083
0.20 2.20 0.01220
0.20 2.30 0.01104
0.20 2.40 0.01265
0.20 2.50 0.01106
0.20 2.60 0.00990
0.20 2.70 0.01204
0.20 2.80 0.01006
0.20 2.90 0.00996
0.20 3.00 0.01471

0.30 0.00 0.07572
0.30 0.10 0.03375
0.30 0.20 0.01026
0.30 0.30 0.00000
0.30 0.40 0.01610
0.30 0.50 0.02042
0.30 0.60 0.02341
0.30 0.70 0.01950
0.30 0.80 0.01754
0.30 0.90 0.02057
0.30 1.00 0.02621
0.30 1.10 0.02226
0.30 1.20 0.01985
0.30 1.30 0.01989
0.30 1.40 0.02103
0.30 1.50 0.01877
0.30 1.60 0.02073
0.30 1.70 0.02283
0.30 1.80 0.02161
0.30 1.90 0.02060
0.30 2.00 0.02160
0.30 2.10 0.01994
0.30 2.20 0.02712
0.30 2.30 0.02047
0.30 2.40 0.01952
0.30 2.50 0.02250
0.30 2.60 0.01886
0.30 2.70 0.02134
0.30 2.80 0.02567
0.30 2.90 0.01993
0.30 3.00 0.02416

0.40 0.00 0.12248
0.40 0.10 0.07187
0.40 0.20 0.03127
0.40 0.30 0.01571
0.40 0.40 0.00000
0.40 0.50 0.01713
0.40 0.60 0.02656
0.40 0.70 0.02910
0.40 0.80 0.03319
0.40 0.90 0.02942
0.40 1.00 0.03050
0.40 1.10 0.03176
0.40 1.20 0.02712
0.40 1.30 0.03102
0.40 1.40 0.02641
0.40 1.50 0.03314
0.40 1.60 0.03157
0.40 1.70 0.03404
0.40 1.80 0.03456
0.40 1.90 0.03152
0.40 2.00 0.03181
0.40 2.10 0.03228
0.40 2.20 0.02976
0.40 2.30 0.02590
0.40 2.40 0.03248
0.40 2.50 0.02753
0.40 2.60 0.03281
0.40 2.70 0.03555
0.40 2.80 0.03039
0.40 2.90 0.02964
0.40 3.00 0.02618

0.50 0.00 0.18006
0.50 0.10 0.11544
0.50 0.20 0.06530
0.50 0.30 0.03398
0.50 0.40 0.01639
0.50 0.50 0.00000
0.50 0.60 0.01944
0.50 0.70 0.03118
0.50 0.80 0.03549
0.50 0.90 0.03304
0.50 1.00 0.03915
0.50 1.10 0.04865
0.50 1.20 0.03539
0.50 1.30 0.03503
0.50 1.40 0.03910
0.50 1.50 0.03737
0.50 1.60 0.05115
0.50 1.70 0.04536
0.50 1.80 0.03848
0.50 1.90 0.04624
0.50 2.00 0.03916
0.50 2.10 0.04955
0.50 2.20 0.04470
0.50 2.30 0.03978
0.50 2.40 0.03807
0.50 2.50 0.04414
0.50 2.60 0.03912
0.50 2.70 0.04143
0.50 2.80 0.04986
0.50 2.90 0.05438
0.50 3.00 0.03851

0.60 0.00 0.25065
0.60 0.10 0.14518
0.60 0.20 0.11086
0.60 0.30 0.06407
0.60 0.40 0.04327
0.60 0.50 0.03779
0.60 0.60 0.00000
0.60 0.70 0.01460
0.60 0.80 0.02937
0.60 0.90 0.03512
0.60 1.00 0.03509
0.60 1.10 0.04556
0.60 1.20 0.05883
0.60 1.30 0.04683
0.60 1.40 0.05307
0.60 1.50 0.05203
0.60 1.60 0.04418
0.60 1.70 0.04871
0.60 1.80 0.04193
0.60 1.90 0.04366
0.60 2.00 0.03978
0.60 2.10 0.04979
0.60 2.20 0.05261
0.60 2.30 0.05331
0.60 2.40 0.04524
0.60 2.50 0.04592
0.60 2.60 0.04958
0.60 2.70 0.03782
0.60 2.80 0.04410
0.60 2.90 0.06696
0.60 3.00 0.05128

0.70 0.00 0.31577
0.70 0.10 0.25570
0.70 0.20 0.14216
0.70 0.30 0.09861
0.70 0.40 0.06818
0.70 0.50 0.05041
0.70 0.60 0.05611
0.70 0.70 0.00000
0.70 0.80 0.01351
0.70 0.90 0.02571
0.70 1.00 0.03473
0.70 1.10 0.04154
0.70 1.20 0.05069
0.70 1.30 0.05739
0.70 1.40 0.05028
0.70 1.50 0.04985
0.70 1.60 0.04588
0.70 1.70 0.04640
0.70 1.80 0.04514
0.70 1.90 0.06321
0.70 2.00 0.04466
0.70 2.10 0.06081
0.70 2.20 0.05363
0.70 2.30 0.04916
0.70 2.40 0.05884
0.70 2.50 0.06129
0.70 2.60 0.04553
0.70 2.70 0.04591
0.70 2.80 0.04301
0.70 2.90 0.04502
0.70 3.00 0.05413

0.80 0.00 0.44315
0.80 0.10 0.25770
0.80 0.20 0.17913
0.80 0.30 0.13535
0.80 0.40 0.09720
0.80 0.50 0.07102
0.80 0.60 0.06778
0.80 0.70 0.08374
0.80 0.80 0.00000
0.80 0.90 0.01209
0.80 1.00 0.02377
0.80 1.10 0.03214
0.80 1.20 0.03819
0.80 1.30 0.04488
0.80 1.40 0.04255
0.80 1.50 0.05299
0.80 1.60 0.06288
0.80 1.70 0.05532
0.80 1.80 0.05295
0.80 1.90 0.04453
0.80 2.00 0.04686
0.80 2.10 0.04454
0.80 2.20 0.06498
0.80 2.30 0.06126
0.80 2.40 0.08500
0.80 2.50 0.05407
0.80 2.60 0.06083
0.80 2.70 0.04859
0.80 2.80 0.06373
0.80 2.90 0.05772
0.80 3.00 0.06925

0.90 0.00 0.44241
0.90 0.10 0.37689
0.90 0.20 0.25000
0.90 0.30 0.12143
0.90 0.40 0.13000
0.90 0.50 0.10853
0.90 0.60 0.09162
0.90 0.70 0.10251
0.90 0.80 0.05898
0.90 0.90 0.00000
0.90 1.00 0.01048
0.90 1.10 0.02131
0.90 1.20 0.03082
0.90 1.30 0.04537
0.90 1.40 0.04762
0.90 1.50 0.05379
0.90 1.60 0.05339
0.90 1.70 0.04276
0.90 1.80 0.05344
0.90 1.90 0.05152
0.90 2.00 0.05868
0.90 2.10 0.04556
0.90 2.20 0.05213
0.90 2.30 0.07842
0.90 2.40 0.04825
0.90 2.50 0.07217
0.90 2.60 0.07260
0.90 2.70 0.07047
0.90 2.80 0.03428
0.90 2.90 0.04061
0.90 3.00 0.04522

1.00 0.00 0.52384
1.00 0.10 0.37567
1.00 0.20 0.28167
1.00 0.30 0.25189
1.00 0.40 0.19152
1.00 0.50 0.12438
1.00 0.60 0.11068
1.00 0.70 0.13856
1.00 0.80 0.11503
1.00 0.90 0.03735
1.00 1.00 0.00000
1.00 1.10 0.00769
1.00 1.20 0.01903
1.00 1.30 0.03122
1.00 1.40 0.02707
1.00 1.50 0.04082
1.00 1.60 0.04389
1.00 1.70 0.03863
1.00 1.80 0.04331
1.00 1.90 0.05313
1.00 2.00 0.06260
1.00 2.10 0.04507
1.00 2.20 0.05959
1.00 2.30 0.03190
1.00 2.40 0.05088
1.00 2.50 0.04349
1.00 2.60 0.03660
1.00 2.70 0.04589
1.00 2.80 0.05432
1.00 2.90 0.04316
1.00 3.00 0.05518

1.10 0.00 0.62087
1.10 0.10 0.49065
1.10 0.20 0.39579
1.10 0.30 0.31345
1.10 0.40 0.21410
1.10 0.50 0.18189
1.10 0.60 0.15514
1.10 0.70 0.15884
1.10 0.80 0.16118
1.10 0.90 0.16415
1.10 1.00 0.02016
1.10 1.10 0.00000
1.10 1.20 0.00596
1.10 1.30 0.01420
1.10 1.40 0.02608
1.10 1.50 0.03094
1.10 1.60 0.03901
1.10 1.70 0.03162
1.10 1.80 0.04193
1.10 1.90 0.03749
1.10 2.00 0.05128
1.10 2.10 0.07160
1.10 2.20 0.04060
1.10 2.30 0.04138
1.10 2.40 0.06301
1.10 2.50 0.07354
1.10 2.60 0.04476
1.10 2.70 0.05892
1.10 2.80 0.05755
1.10 2.90 0.03362
1.10 3.00 0.04389

1.20 0.00 0.59976
1.20 0.10 0.42505
1.20 0.20 0.37347
1.20 0.30 0.33398
1.20 0.40 0.21540
1.20 0.50 0.21143
1.20 0.60 0.17554
1.20 0.70 0.17120
1.20 0.80 0.13462
1.20 0.90 0.21840
1.20 1.00 0.08593
1.20 1.10 0.01094
1.20 1.20 0.00000
1.20 1.30 0.00485
1.20 1.40 0.01214
1.20 1.50 0.02088
1.20 1.60 0.02858
1.20 1.70 0.03321
1.20 1.80 0.03111
1.20 1.90 0.03637
1.20 2.00 0.03594
1.20 2.10 0.03260
1.20 2.20 0.05756
1.20 2.30 0.04007
1.20 2.40 0.04381
1.20 2.50 0.03587
1.20 2.60 0.05005
1.20 2.70 0.04685
1.20 2.80 0.07541
1.20 2.90 0.08271
1.20 3.00 0.03963

1.30 0.00 0.73024
1.30 0.10 0.47206
1.30 0.20 0.42443
1.30 0.30 0.33790
1.30 0.40 0.29677
1.30 0.50 0.24347
1.30 0.60 0.18615
1.30 0.70 0.18136
1.30 0.80 0.19373
1.30 0.90 0.18027
1.30 1.00 0.25014
1.30 1.10 0.04138
1.30 1.20 0.00661
1.30 1.30 0.00000
1.30 1.40 0.00366
1.30 1.50 0.00818
1.30 1.60 0.01421
1.30 1.70 0.01697
1.30 1.80 0.03179
1.30 1.90 0.03109
1.30 2.00 0.02807
1.30 2.10 0.03786
1.30 2.20 0.04783
1.30 2.30 0.02671
1.30 2.40 0.03788
1.30 2.50 0.03869
1.30 2.60 0.03262
1.30 2.70 0.02226
1.30 2.80 0.03756
1.30 2.90 0.03369
1.30 3.00 0.05652

1.40 0.00 0.70324
1.40 0.10 0.59495
1.40 0.20 0.48084
1.40 0.30 0.38246
1.40 0.40 0.29611
1.40 0.50 0.25918
1.40 0.60 0.21592
