#time          Q              r            MSE
0   1e-09   1e-09   0.516059
0.00025   0.000129   0.000170652   0.515955
0.0005   0.000257966   0.00034126   0.515851
0.00075   0.0003869   0.000511826   0.515747
0.001   0.000515802   0.000682349   0.515643
0.00225   0.00115983   0.00153433   0.515123
0.0035   0.00180305   0.00238524   0.514605
0.00475   0.00244547   0.00323509   0.514087
0.006   0.00308708   0.00408387   0.51357
0.01225   0.00628317   0.00831194   0.510993
0.0185   0.00945941   0.0125137   0.50843
0.02475   0.0126164   0.0166897   0.505882
0.031   0.0157552   0.0208406   0.503351
0.0503045   0.0253513   0.0335149   0.495703
0.0696091   0.0348344   0.0459914   0.488399
0.0889136   0.044245   0.0582965   0.481478
0.108218   0.0536154   0.0704508   0.474929
0.14166   0.0698249   0.0911942   0.464391
0.175102   0.086084   0.111592   0.45475
0.208543   0.102464   0.131691   0.445874
0.241985   0.119019   0.151526   0.437659
0.284098   0.140175   0.176168   0.428124
0.32621   0.16173   0.200477   0.419368
0.368323   0.183735   0.224487   0.411286
0.410435   0.206228   0.248229   0.403795
0.468045   0.237842   0.280316   0.394379
0.525654   0.270489   0.311997   0.385801
0.583264   0.304218   0.343316   0.377947
0.640874   0.33907   0.374311   0.370729
0.711518   0.383386   0.411919   0.362637
0.782162   0.429486   0.449133   0.355275
0.852806   0.47741   0.485994   0.348552
0.92345   0.527188   0.522538   0.342391
1.00555   0.587401   0.564648   0.335853
1.08764   0.650188   0.606411   0.329903
1.16974   0.715575   0.647861   0.324469
1.25183   0.783586   0.689031   0.319493
1.34462   0.863631   0.735255   0.314354
1.4374   0.947072   0.781185   0.309672
1.53019   1.03393   0.82685   0.305392
1.62297   1.12421   0.872275   0.301469
1.72876   1.23135   0.923804   0.297381
1.83456   1.34297   0.975076   0.293658
1.94035   1.45909   1.02612   0.290256
2.04614   1.57972   1.07695   0.287139
2.1712   1.72813   1.13678   0.283779
2.29626   1.88286   1.19638   0.28073
2.42131   2.04391   1.25575   0.277954
2.54637   2.21129   1.31493   0.275418
2.69356   2.4164   1.38435   0.272705
2.84076   2.63029   1.45355   0.27025
2.98795   2.85295   1.52254   0.26802
3.13515   3.08439   1.59135   0.265988
3.30828   3.36782   1.67206   0.263819
3.4814   3.66338   1.75256   0.26186
3.65453   3.97106   1.83287   0.260084
3.82766   4.29087   1.913   0.258468
4.0312   4.68235   2.00701   0.256746
4.23474   5.09056   2.10083   0.255191
4.43828   5.5155   2.19447   0.253783
4.64182   5.95715   2.28794   0.252502
4.88104   6.49759   2.39762   0.251137
5.12027   7.06108   2.50711   0.249906
5.3595   7.64761   2.61643   0.24879
5.59872   8.25716   2.7256   0.247775
5.84872   8.91875   2.83955   0.246807
6.09872   9.60544   2.95335   0.245924
6.34872   10.3172   3.06702   0.245114
6.59872   11.0541   3.18058   0.24437
6.84872   11.816   3.29403   0.243684
7.09872   12.603   3.40739   0.243049
7.34872   13.415   3.52065   0.242461
7.59872   14.252   3.63382   0.241914
7.84872   15.114   3.74691   0.241405
8.09872   16.001   3.85993   0.240929
8.34872   16.913   3.97288   0.240483
8.59872   17.8499   4.08576   0.240066
8.84872   18.8119   4.19858   0.239673
9.09872   19.7987   4.31134   0.239304
9.34872   20.8106   4.42405   0.238956
9.59872   21.8473   4.5367   0.238627
9.84872   22.909   4.64931   0.238316
10.0987   23.9956   4.76187   0.238022
10.3487   25.1071   4.87438   0.237742
10.5987   26.2435   4.98686   0.237477
10.8487   27.4047   5.09929   0.237225
11.0987   28.5909   5.21169   0.236985
11.3487   29.802   5.32404   0.236756
11.5987   31.0379   5.43637   0.236538
11.8487   32.2987   5.54866   0.23633
12.0987   33.5843   5.66092   0.23613
12.3487   34.8948   5.77315   0.23594
12.5987   36.2302   5.88535   0.235757
12.8487   37.5904   5.99752   0.235582
13.0987   38.9754   6.10966   0.235414
13.3487   40.3853   6.22178   0.235252
13.5987   41.82   6.33388   0.235097
13.8487   43.2796   6.44595   0.234948
14.0987   44.7639   6.558   0.234804
14.3487   46.2731   6.67002   0.234666
14.5987   47.8071   6.78203   0.234533
14.8487   49.3658   6.89401   0.234404
15.0987   50.9494   7.00597   0.23428
15.3487   52.5578   7.11792   0.23416
15.5987   54.191   7.22984   0.234045
15.8487   55.849   7.34175   0.233933
16.0987   57.5318   7.45364   0.233825
16.3487   59.2393   7.56552   0.23372
16.5987   60.9717   7.67738   0.233618
16.8487   62.7288   7.78922   0.23352
17.0987   64.5107   7.90104   0.233425
17.3487   66.3174   8.01286   0.233332
17.5987   68.1488   8.12465   0.233243
17.8487   70.005   8.23644   0.233156
18.0987   71.886   8.34821   0.233071
18.3487   73.7917   8.45996   0.232989
18.5987   75.7222   8.57171   0.232909
18.8487   77.6775   8.68344   0.232832
19.0987   79.6575   8.79516   0.232756
19.3487   81.6623   8.90687   0.232683
19.5987   83.6918   9.01856   0.232611
19.8487   85.7461   9.13025   0.232542
20.0987   87.8251   9.24192   0.232474
20.3487   89.9288   9.35358   0.232408
20.5987   92.0573   9.46524   0.232344
20.8487   94.2106   9.57688   0.232281
21.0987   96.3885   9.68851   0.23222
21.3487   98.5913   9.80014   0.23216
21.5987   100.819   9.91175   0.232102
21.8487   103.071   10.0234   0.232045
22.0987   105.348   10.135   0.231989
22.3487   107.649   10.2465   0.231935
22.5987   109.976   10.3581   0.231882
22.8487   112.327   10.4697   0.23183
23.0987   114.703   10.5812   0.23178
23.3487   117.103   10.6928   0.23173
23.5987   119.528   10.8043   0.231682
23.8487   121.978   10.9159   0.231634
24.0987   124.453   11.0274   0.231588
24.3487   126.953   11.1389   0.231542
24.5987   129.477   11.2505   0.231498
24.8487   132.025   11.362   0.231454
25.0987   134.599   11.4735   0.231412
25.3487   137.197   11.585   0.23137
25.5987   139.82   11.6965   0.231329
25.8487   142.468   11.8079   0.231289
26.0987   145.14   11.9194   0.23125
26.3487   147.837   12.0309   0.231211
26.5987   150.559   12.1423   0.231174
26.8487   153.306   12.2538   0.231137
27.0987   156.077   12.3653   0.2311
27.3487   158.873   12.4767   0.231065
27.5987   161.693   12.5881   0.23103
27.8487   164.539   12.6996   0.230995
28.0987   167.408   12.811   0.230961
28.3487   170.303   12.9224   0.230928
28.5987   173.222   13.0338   0.230896
28.8487   176.167   13.1453   0.230864
29.0987   179.135   13.2567   0.230833
29.3487   182.129   13.3681   0.230802
29.5987   185.147   13.4795   0.230772
29.8487   188.19   13.5909   0.230742
30.0987   191.257   13.7023   0.230713
30.3487   194.349   13.8136   0.230684
30.5987   197.466   13.925   0.230655
30.8487   200.608   14.0364   0.230628
31.0987   203.774   14.1478   0.2306
31.3487   206.965   14.2591   0.230573
31.5987   210.181   14.3705   0.230547
31.8487   213.421   14.4819   0.230521
32.0987   216.686   14.5932   0.230495
32.3487   219.975   14.7046   0.23047
32.5987   223.29   14.8159   0.230445
32.8487   226.629   14.9272   0.230421
33.0987   229.992   15.0386   0.230397
33.3487   233.381   15.1499   0.230373
33.5987   236.794   15.2612   0.23035
33.8487   240.231   15.3726   0.230327
34.0987   243.694   15.4839   0.230304
34.3487   247.181   15.5952   0.230282
34.5987   250.693   15.7065   0.23026
34.8487   254.229   15.8178   0.230238
35.0987   257.79   15.9291   0.230217
35.3487   261.376   16.0405   0.230196
35.5987   264.986   16.1518   0.230175
35.8487   268.621   16.2631   0.230155
36.0987   272.281   16.3743   0.230135
36.3487   275.965   16.4856   0.230115
36.5987   279.674   16.5969   0.230096
36.8487   283.408   16.7082   0.230076
37.0987   287.166   16.8195   0.230057
37.3487   290.95   16.9308   0.230038
37.5987   294.757   17.042   0.23002
37.8487   298.59   17.1533   0.230002
38.0987   302.447   17.2646   0.229984
38.3487   306.328   17.3759   0.229966
38.5987   310.235   17.4871   0.229948
38.8487   314.166   17.5984   0.229931
39.0987   318.121   17.7096   0.229914
39.3487   322.102   17.8209   0.229897
39.5987   326.107   17.9322   0.22988
39.8487   330.137   18.0434   0.229864
40.0987   334.191   18.1547   0.229848
40.3487   338.27   18.2659   0.229832
40.5987   342.373   18.3771   0.229816
40.8487   346.502   18.4884   0.2298
41.0987   350.655   18.5996   0.229785
41.3487   354.832   18.7109   0.22977
41.5987   359.035   18.8221   0.229755
41.8487   363.261   18.9333   0.22974
42.0987   367.513   19.0445   0.229725
42.3487   371.789   19.1558   0.229711
42.5987   376.09   19.267   0.229696
42.8487   380.416   19.3782   0.229682
43.0987   384.766   19.4894   0.229668
43.3487   389.141   19.6007   0.229654
43.5987   393.54   19.7119   0.229641
43.8487   397.964   19.8231   0.229627
44.0987   402.413   19.9343   0.229614
44.3487   406.886   20.0455   0.229601
44.5987   411.384   20.1567   0.229587
44.8487   415.907   20.2679   0.229575
45.0987   420.455   20.3791   0.229562
45.3487   425.027   20.4903   0.229549
45.5987   429.623   20.6015   0.229537
45.8487   434.245   20.7127   0.229524
46.0987   438.89   20.8239   0.229512
46.3487   443.561   20.9351   0.2295
46.5987   448.256   21.0463   0.229488
46.8487   452.976   21.1575   0.229476
47.0987   457.721   21.2687   0.229465
47.3487   462.49   21.3798   0.229453
47.5987   467.284   21.491   0.229442
47.8487   472.102   21.6022   0.22943
48.0987   476.945   21.7134   0.229419
48.3487   481.813   21.8246   0.229408
48.5987   486.705   21.9357   0.229397
48.8487   491.622   22.0469   0.229386
49.0987   496.564   22.1581   0.229376
49.3487   501.53   22.2692   0.229365
49.5987   506.521   22.3804   0.229354
49.8487   511.537   22.4916   0.229344
50.0987   516.577   22.6027   0.229334
50.3487   521.642   22.7139   0.229324
50.5987   526.732   22.8251   0.229314
50.8487   531.846   22.9362   0.229304
51.0987   536.985   23.0474   0.229294
51.3487   542.148   23.1585   0.229284
51.5987   547.336   23.2697   0.229274
51.8487   552.549   23.3808   0.229265
52.0987   557.786   23.492   0.229255
52.3487   563.048   23.6031   0.229246
52.5987   568.335   23.7143   0.229236
52.8487   573.646   23.8254   0.229227
53.0987   578.982   23.9366   0.229218
53.3487   584.342   24.0477   0.229209
53.5987   589.727   24.1589   0.2292
53.8487   595.137   24.27   0.229191
54.0987   600.572   24.3812   0.229182
54.3487   606.031   24.4923   0.229173
54.5987   611.514   24.6034   0.229165
54.8487   617.023   24.7146   0.229156
55.0987   622.556   24.8257   0.229148
55.3487   628.113   24.9368   0.229139
55.5987   633.695   25.048   0.229131
55.8487   639.302   25.1591   0.229123
56.0987   644.934   25.2702   0.229115
56.3487   650.59   25.3813   0.229106
56.5987   656.271   25.4925   0.229098
56.8487   661.976   25.6036   0.22909
57.0987   667.706   25.7147   0.229083
57.3487   673.461   25.8258   0.229075
57.5987   679.24   25.937   0.229067
57.8487   685.044   26.0481   0.229059
58.0987   690.872   26.1592   0.229052
58.3487   696.725   26.2703   0.229044
58.5987   702.603   26.3814   0.229037
58.8487   708.506   26.4925   0.229029
59.0987   714.433   26.6037   0.229022
59.3487   720.384   26.7148   0.229015
59.5987   726.361   26.8259   0.229007
59.8487   732.362   26.937   0.229
60.0987   738.387   27.0481   0.228993
60.3487   744.437   27.1592   0.228986
60.5987   750.512   27.2703   0.228979
60.8487   756.612   27.3814   0.228972
61.0987   762.736   27.4925   0.228965
61.3487   768.884   27.6036   0.228958
61.5987   775.058   27.7147   0.228952
61.8487   781.256   27.8258   0.228945
62.0987   787.478   27.9369   0.228938
62.3487   793.725   28.048   0.228932
62.5987   799.997   28.1591   0.228925
62.8487   806.294   28.2702   0.228918
63.0987   812.615   28.3813   0.228912
63.3487   818.96   28.4924   0.228906
63.5987   825.331   28.6035   0.228899
63.8487   831.726   28.7146   0.228893
64.0987   838.145   28.8257   0.228887
64.3487   844.589   28.9368   0.228881
64.5987   851.058   29.0479   0.228874
64.8487   857.552   29.1589   0.228868
65.0987   864.07   29.27   0.228862
65.3487   870.612   29.3811   0.228856
65.5987   877.18   29.4922   0.22885
65.8487   883.772   29.6033   0.228844
66.0987   890.388   29.7144   0.228839
66.3487   897.029   29.8255   0.228833
66.5987   903.695   29.9365   0.228827
66.8487   910.386   30.0476   0.228821
67.0987   917.101   30.1587   0.228815
67.3487   923.84   30.2698   0.22881
67.5987   930.605   30.3809   0.228804
67.8487   937.393   30.4919   0.228799
68.0987   944.207   30.603   0.228793
68.3487   951.045   30.7141   0.228788
68.5987   957.908   30.8252   0.228782
68.8487   964.795   30.9362   0.228777
69.0987   971.707   31.0473   0.228771
69.3487   978.644   31.1584   0.228766
69.5987   985.605   31.2694   0.228761
69.8487   992.591   31.3805   0.228756
70.0987   999.601   31.4916   0.22875
70.3487   1006.64   31.6026   0.228745
70.5987   1013.7   31.7137   0.22874
70.8487   1020.78   31.8248   0.228735
71.0987   1027.89   31.9358   0.22873
71.3487   1035.02   32.0469   0.228725
71.5987   1042.18   32.158   0.22872
71.8487   1049.36   32.269   0.228715
72.0987   1056.57   32.3801   0.22871
72.3487   1063.8   32.4912   0.228705
72.5987   1071.06   32.6022   0.2287
72.8487   1078.34   32.7133   0.228695
73.0987   1085.65   32.8243   0.228691
73.3487   1092.98   32.9354   0.228686
73.5987   1100.33   33.0465   0.228681
73.8487   1107.71   33.1575   0.228677
74.0987   1115.12   33.2686   0.228672
74.3487   1122.55   33.3796   0.228667
74.5987   1130   33.4907   0.228663
74.8487   1137.48   33.6017   0.228658
75.0987   1144.98   33.7128   0.228654
75.3487   1152.51   33.8238   0.228649
75.5987   1160.06   33.9349   0.228645
75.8487   1167.64   34.0459   0.22864
76.0987   1175.24   34.157   0.228636
76.3487   1182.86   34.268   0.228631
76.5987   1190.51   34.3791   0.228627
76.8487   1198.19   34.4901   0.228623
77.0987   1205.89   34.6012   0.228618
77.3487   1213.61   34.7122   0.228614
77.5987   1221.36   34.8233   0.22861
77.8487   1229.14   34.9343   0.228606
78.0987   1236.93   35.0454   0.228601
78.3487   1244.76   35.1564   0.228597
78.5987   1252.6   35.2674   0.228593
78.8487   1260.48   35.3785   0.228589
79.0987   1268.37   35.4895   0.228585
79.3487   1276.29   35.6006   0.228581
79.5987   1284.24   35.7116   0.228577
79.8487   1292.21   35.8227   0.228573
80.0987   1300.21   35.9337   0.228569
80.3487   1308.23   36.0447   0.228565
80.5987   1316.27   36.1558   0.228561
80.8487   1324.34   36.2668   0.228557
81.0987   1332.43   36.3778   0.228553
81.3487   1340.55   36.4889   0.228549
81.5987   1348.69   36.5999   0.228546
81.8487   1356.86   36.7109   0.228542
82.0987   1365.05   36.822   0.228538
82.3487   1373.27   36.933   0.228534
82.5987   1381.51   37.044   0.22853
82.8487   1389.78   37.1551   0.228527
83.0987   1398.07   37.2661   0.228523
83.3487   1406.38   37.3771   0.228519
83.5987   1414.72   37.4882   0.228516
83.8487   1423.09   37.5992   0.228512
84.0987   1431.47   37.7102   0.228508
84.3487   1439.89   37.8213   0.228505
84.5987   1448.33   37.9323   0.228501
84.8487   1456.79   38.0433   0.228498
85.0987   1465.28   38.1543   0.228494
85.3487   1473.79   38.2654   0.228491
85.5987   1482.33   38.3764   0.228487
85.8487   1490.89   38.4874   0.228484
86.0987   1499.47   38.5984   0.22848
86.3487   1508.08   38.7095   0.228477
86.5987   1516.72   38.8205   0.228474
86.8487   1525.38   38.9315   0.22847
87.0987   1534.06   39.0425   0.228467
87.3487   1542.77   39.1536   0.228463
87.5987   1551.5   39.2646   0.22846
87.8487   1560.26   39.3756   0.228457
88.0987   1569.04   39.4866   0.228454
88.3487   1577.85   39.5976   0.22845
88.5987   1586.68   39.7087   0.228447
88.8487   1595.54   39.8197   0.228444
89.0987   1604.42   39.9307   0.228441
89.3487   1613.33   40.0417   0.228437
89.5987   1622.26   40.1527   0.228434
89.8487   1631.21   40.2637   0.228431
90.0987   1640.19   40.3748   0.228428
90.3487   1649.2   40.4858   0.228425
90.5987   1658.22   40.5968   0.228422
90.8487   1667.28   40.7078   0.228419
91.0987   1676.36   40.8188   0.228416
91.3487   1685.46   40.9298   0.228413
91.5987   1694.58   41.0408   0.228409
91.8487   1703.74   41.1519   0.228406
92.0987   1712.91   41.2629   0.228403
92.3487   1722.11   41.3739   0.2284
92.5987   1731.34   41.4849   0.228397
92.8487   1740.59   41.5959   0.228395
93.0987   1749.86   41.7069   0.228392
93.3487   1759.16   41.8179   0.228389
93.5987   1768.49   41.9289   0.228386
93.8487   1777.84   42.0399   0.228383
94.0987   1787.21   42.1509   0.22838
94.3487   1796.61   42.262   0.228377
94.5987   1806.03   42.373   0.228374
94.8487   1815.48   42.484   0.228371
95.0987   1824.95   42.595   0.228369
95.3487   1834.44   42.706   0.228366
95.5987   1843.97   42.817   0.228363
95.8487   1853.51   42.928   0.22836
96.0987   1863.08   43.039   0.228358
96.3487   1872.68   43.15   0.228355
96.5987   1882.29   43.261   0.228352
96.8487   1891.94   43.372   0.228349
97.0987   1901.61   43.483   0.228347
97.3487   1911.3   43.594   0.228344
97.5987   1921.02   43.705   0.228341
97.8487   1930.76   43.816   0.228339
98.0987   1940.53   43.927   0.228336
98.3487   1950.32   44.038   0.228333
98.5987   1960.13   44.149   0.228331
98.8487   1969.98   44.26   0.228328
99.0987   1979.84   44.371   0.228326
99.3487   1989.73   44.482   0.228323
99.5987   1999.65   44.593   0.22832
99.699   2003.63   44.6375   0.228319
99.7994   2007.62   44.6821   0.228318
99.8997   2011.61   44.7266   0.228317
100   2015.61   44.7712   0.228316
