#time          Q              r            MSE
0   1e-09   1e-09   0.516059
0.00025   0.000129   0.000170652   0.515955
0.0005   0.000257966   0.00034126   0.515851
0.00075   0.0003869   0.000511826   0.515747
0.001   0.000515802   0.000682349   0.515643
0.00225   0.00115983   0.00153433   0.515123
0.0035   0.00180305   0.00238524   0.514605
0.00475   0.00244547   0.00323509   0.514087
0.006   0.00308708   0.00408387   0.51357
0.01225   0.00628316   0.00831193   0.510993
0.0185   0.00945932   0.0125136   0.508432
0.02475   0.0126157   0.0166892   0.505887
0.031   0.0157524   0.0208387   0.503358
0.06225   0.0311452   0.0412017   0.490948
0.0935   0.0460644   0.0609382   0.478919
0.12475   0.0605246   0.0800675   0.467259
0.156   0.0745404   0.0986086   0.455953
0.217842   0.101024   0.133641   0.434544
0.279683   0.125948   0.166595   0.414299
0.341525   0.149439   0.197624   0.395107
0.403367   0.171623   0.226874   0.376887
0.466341   0.192995   0.254979   0.359273
0.529314   0.213252   0.28152   0.342555
0.592288   0.232497   0.30662   0.326686
0.655262   0.25082   0.330391   0.311625
0.724368   0.269963   0.355064   0.295974
0.793474   0.288187   0.378373   0.281192
0.86258   0.305572   0.400425   0.267226
0.931686   0.322191   0.421314   0.25403
1.00701   0.339505   0.44286   0.240466
1.08234   0.356051   0.463224   0.227706
1.15767   0.371892   0.482496   0.215697
1.233   0.387082   0.500755   0.20439
1.31451   0.40284   0.519455   0.192895
1.39601   0.417944   0.537138   0.182115
1.47751   0.432444   0.553879   0.172001
1.55902   0.446381   0.569744   0.162507
1.64696   0.460831   0.585953   0.15291
1.7349   0.474711   0.601284   0.143937
1.82284   0.48806   0.615802   0.135543
1.91079   0.500912   0.629564   0.127686
2.00559   0.514243   0.643613   0.119775
2.10039   0.527065   0.656904   0.1124
2.19519   0.539411   0.669491   0.105522
2.28999   0.551307   0.681424   0.0991041
2.39218   0.563656   0.693607   0.0926614
2.49436   0.575542   0.705133   0.0866748
2.59655   0.586992   0.716049   0.0811092
2.69874   0.59803   0.726399   0.0759318
2.80893   0.609496   0.73697   0.0707496
2.91913   0.620535   0.746972   0.0659508
3.02932   0.63117   0.756445   0.0615046
3.13952   0.641421   0.765427   0.0573826
3.25845   0.652078   0.774608   0.0532682
3.37737   0.662334   0.783295   0.0494723
3.49629   0.672212   0.791523   0.0459683
3.61522   0.68173   0.799324   0.0427318
3.7437   0.691631   0.807307   0.0395101
3.87219   0.701154   0.814859   0.0365497
4.00067   0.71032   0.822012   0.033828
4.12915   0.719146   0.828794   0.0313241
4.26815   0.728331   0.835743   0.0288386
4.40715   0.737158   0.842317   0.0265646
4.54615   0.745646   0.848542   0.0244832
4.68515   0.75381   0.854445   0.0225765
4.83578   0.762311   0.860501   0.0206892
4.9864   0.770471   0.86623   0.0189708
5.13702   0.778307   0.871654   0.0174053
5.28764   0.785834   0.876796   0.015978
5.45117   0.793676   0.88208   0.0145693
5.61471   0.801191   0.887077   0.0132934
5.77824   0.808396   0.891807   0.0121369
5.94177   0.815306   0.896288   0.0110879
6.1197   0.822508   0.900902   0.0100558
6.29764   0.829396   0.905262   0.0091261
6.47558   0.835986   0.909387   0.00828824
6.65351   0.842295   0.913293   0.00753235
6.8476   0.848873   0.917321   0.00679102
7.04169   0.855149   0.921125   0.00612738
7.23578   0.86114   0.924719   0.00553292
7.42987   0.866861   0.928119   0.00499981
7.64217   0.872827   0.931632   0.00447874
7.85446   0.878504   0.934944   0.00401537
8.06675   0.883908   0.938069   0.00360309
8.27904   0.889054   0.941021   0.00323573
8.51193   0.894419   0.944075   0.00287797
8.74482   0.899508   0.946949   0.00256213
8.97772   0.904336   0.949656   0.00228318
9.21061   0.908918   0.952208   0.00203637
9.46061   0.91358   0.954787   0.00180248
9.71061   0.91799   0.957212   0.00159697
9.96061   0.922164   0.959493   0.00141634
10.2106   0.926115   0.96164   0.00125727
10.4606   0.929857   0.963664   0.00111684
10.7106   0.933402   0.965571   0.000992922
10.9606   0.93676   0.96737   0.00088355
11.2106   0.939942   0.969068   0.000786838
11.4606   0.942958   0.970671   0.000701129
11.7106   0.945818   0.972186   0.000625209
11.9606   0.948529   0.973617   0.000557948
12.2106   0.951101   0.97497   0.000498257
12.4606   0.953541   0.97625   0.000445176
12.7106   0.955855   0.977461   0.000397996
12.9606   0.958051   0.978607   0.000356058
13.2106   0.960135   0.979691   0.000318723
13.4606   0.962113   0.980719   0.00028542
13.7106   0.963991   0.981692   0.000255732
13.9606   0.965774   0.982614   0.000229266
14.2106   0.967466   0.983488   0.000205638
14.4606   0.969074   0.984316   0.000184508
14.7106   0.9706   0.985101   0.000165622
14.9606   0.97205   0.985846   0.000148744
15.2106   0.973427   0.986553   0.00013364
15.4606   0.974735   0.987223   0.000120102
15.7106   0.975978   0.987858   0.000107976
15.9606   0.977159   0.988462   9.71151e-05
16.2106   0.978281   0.989034   8.73767e-05
16.4606   0.979347   0.989578   7.8631e-05
16.7106   0.98036   0.990094   7.07825e-05
16.9606   0.981323   0.990584   6.37407e-05
17.2106   0.982239   0.991049   5.74157e-05
17.4606   0.983108   0.991491   5.17263e-05
17.7106   0.983935   0.991911   4.66126e-05
17.9606   0.984721   0.992309   4.20176e-05
18.2106   0.985469   0.992688   3.78845e-05
18.4606   0.986179   0.993047   3.41617e-05
18.7106   0.986854   0.993389   3.08112e-05
18.9606   0.987496   0.993714   2.77968e-05
19.2106   0.988107   0.994023   2.50823e-05
19.4606   0.988687   0.994316   2.26344e-05
19.7106   0.989239   0.994594   2.04291e-05
19.9606   0.989764   0.994859   1.84429e-05
20.2106   0.990263   0.995111   1.66525e-05
20.4606   0.990738   0.99535   1.50365e-05
20.7106   0.991189   0.995578   1.35793e-05
20.9606   0.991619   0.995794   1.22658e-05
21.2106   0.992027   0.996   1.10809e-05
21.4606   0.992415   0.996195   1.00106e-05
21.7106   0.992784   0.996381   9.04474e-06
21.9606   0.993136   0.996558   8.17355e-06
22.2106   0.99347   0.996726   7.38709e-06
22.4606   0.993787   0.996885   6.67623e-06
22.7106   0.99409   0.997037   6.03445e-06
22.9606   0.994377   0.997182   5.4552e-06
23.2106   0.994651   0.997319   4.93197e-06
23.4606   0.994911   0.99745   4.45888e-06
23.7106   0.995158   0.997574   4.03151e-06
23.9606   0.995394   0.997692   3.64557e-06
24.2106   0.995617   0.997805   3.29686e-06
24.4606   0.99583   0.997911   2.98148e-06
24.7106   0.996033   0.998013   2.69638e-06
24.9606   0.996226   0.99811   2.43884e-06
25.2106   0.996409   0.998202   2.20606e-06
25.4606   0.996583   0.998289   1.99545e-06
25.7106   0.996749   0.998372   1.80505e-06
25.9606   0.996907   0.998452   1.63297e-06
26.2106   0.997057   0.998527   1.47722e-06
26.4606   0.9972   0.998598   1.33639e-06
26.7106   0.997336   0.998667   1.20923e-06
26.9606   0.997466   0.998731   1.09395e-06
27.2106   0.997589   0.998793   9.89975e-07
27.4606   0.997706   0.998852   8.95712e-07
27.7106   0.997817   0.998907   8.10527e-07
27.9606   0.997923   0.998961   7.33608e-07
28.2106   0.998024   0.999011   6.6388e-07
28.4606   0.99812   0.999059   6.00802e-07
28.7106   0.998211   0.999105   5.43578e-07
28.9606   0.998298   0.999148   4.91995e-07
29.2106   0.99838   0.99919   4.45407e-07
29.4606   0.998459   0.999229   4.02575e-07
29.7106   0.998534   0.999266   3.64328e-07
29.9606   0.998605   0.999302   3.30292e-07
30.2106   0.998673   0.999336   2.98673e-07
30.4606   0.998737   0.999368   2.70386e-07
30.7106   0.998798   0.999399   2.44754e-07
30.9606   0.998856   0.999428   2.21701e-07
31.2106   0.998912   0.999456   2.00517e-07
31.4606   0.998965   0.999482   1.80914e-07
31.7106   0.999015   0.999507   1.64012e-07
31.9606   0.999063   0.999531   1.49041e-07
32.2106   0.999108   0.999554   1.35063e-07
32.4606   0.999151   0.999576   1.20751e-07
32.7106   0.999193   0.999596   1.10298e-07
32.9606   0.999232   0.999616   1.00569e-07
33.2106   0.999269   0.999634   9.00835e-08
33.4606   0.999304   0.999652   8.32434e-08
33.7106   0.999338   0.999669   7.42012e-08
33.9606   0.99937   0.999685   6.70842e-08
34.2106   0.999401   0.9997   6.00496e-08
34.4606   0.99943   0.999715   5.51154e-08
34.7106   0.999457   0.999729   5.09461e-08
34.9606   0.999484   0.999742   4.67298e-08
35.2106   0.999509   0.999754   3.52106e-08
35.4606   0.999533   0.999766   3.57081e-08
35.7106   0.999555   0.999778   3.05666e-08
35.9606   0.999577   0.999788   2.72858e-08
36.2106   0.999597   0.999799   2.78147e-08
36.2392   0.9996   0.9998   2.84179e-08
36.2679   0.999602   0.999801   2.26327e-08
36.2965   0.999604   0.999802   3.28381e-08
36.3252   0.999606   0.999803   2.58806e-08
36.3538   0.999609   0.999804   2.52675e-08
36.3824   0.999611   0.999805   2.08127e-08
36.4111   0.999613   0.999807   2.67651e-08
36.4397   0.999615   0.999808   1.95981e-08
36.5829   0.999626   0.999813   2.52766e-08
36.7261   0.999637   0.999818   1.46529e-08
36.8693   0.999647   0.999823   1.87936e-08
37.0125   0.999657   0.999828   1.90716e-08
37.2625   0.999673   0.999837   1.91163e-08
37.5125   0.999689   0.999845   1.88781e-08
37.7625   0.999704   0.999852   1.36481e-08
38.0125   0.999719   0.999859   1.04946e-08
38.2625   0.999732   0.999866   1.25071e-08
38.5125   0.999745   0.999873   9.13994e-09
38.7625   0.999758   0.999879   2.60199e-08
39.0125   0.999769   0.999885   2.67e-08
39.0411   0.999771   0.999885   2.41716e-08
39.0698   0.999772   0.999886   2.42978e-10
39.0984   0.999773   0.999887   1.29731e-08
39.127   0.999775   0.999887   5.9836e-09
39.1557   0.999776   0.999888   2.96946e-09
39.1843   0.999777   0.999889   9.19928e-09
39.2129   0.999778   0.999889   1.07177e-08
39.2416   0.99978   0.99989   1.80646e-08
39.3848   0.999786   0.999893   -7.4534e-09
39.528   0.999792   0.999896   1.5289e-08
39.6712   0.999798   0.999899   1.87592e-08
39.8144   0.999803   0.999902   1.94975e-08
40.0644   0.999813   0.999906   3.00742e-08
40.3144   0.999822   0.999911   1.11535e-08
40.5644   0.999831   0.999915   1.14569e-08
40.8144   0.999839   0.999919   2.08144e-08
41.0644   0.999847   0.999923   7.76474e-09
41.3144   0.999854   0.999927   6.09281e-09
41.5644   0.999861   0.999931   -1.17299e-09
41.8144   0.999868   0.999934   2.47688e-08
42.0644   0.999874   0.999937   7.49571e-09
42.3144   0.99988   0.99994   2.48326e-08
42.5644   0.999886   0.999943   4.00518e-09
42.8144   0.999892   0.999946   1.08919e-08
43.0644   0.999897   0.999948   7.11805e-09
43.3144   0.999902   0.999951   1.91308e-08
43.5644   0.999907   0.999953   -2.32685e-08
43.8144   0.999911   0.999956   4.38742e-09
43.8215   0.999911   0.999956   5.80174e-09
43.8287   0.999911   0.999956   -1.46047e-08
43.8358   0.999912   0.999956   -7.65574e-09
43.843   0.999912   0.999956   4.97641e-09
43.8502   0.999912   0.999956   1.05071e-08
43.8573   0.999912   0.999956   1.72301e-08
43.8645   0.999912   0.999956   1.85026e-08
43.8716   0.999912   0.999956   2.86226e-08
43.8772   0.999912   0.999956   -2.63838e-08
43.8827   0.999912   0.999956   3.30091e-08
43.8882   0.999912   0.999956   -1.35425e-08
43.8937   0.999913   0.999956   2.14647e-08
43.8993   0.999913   0.999956   6.4181e-10
43.9048   0.999913   0.999956   -2.0784e-08
43.9103   0.999913   0.999956   1.10717e-08
43.9158   0.999913   0.999956   -3.82268e-09
43.9435   0.999913   0.999957   -3.684e-08
43.9711   0.999914   0.999957   1.82796e-08
43.9987   0.999914   0.999957   5.93118e-09
44.0264   0.999915   0.999957   2.97483e-09
44.0435   0.999915   0.999958   1.88068e-08
44.0606   0.999915   0.999958   1.01813e-08
44.0777   0.999916   0.999958   2.91366e-08
44.0948   0.999916   0.999958   -3.80031e-09
44.1119   0.999916   0.999958   -2.36672e-08
44.129   0.999917   0.999958   -7.01561e-09
44.1461   0.999917   0.999958   -1.74879e-08
44.1632   0.999917   0.999959   -4.52503e-09
44.2487   0.999919   0.999959   -8.36951e-09
44.3343   0.99992   0.99996   1.5731e-08
44.4198   0.999921   0.999961   1.4467e-08
44.5053   0.999923   0.999961   5.36351e-10
44.7553   0.999926   0.999963   2.09878e-08
45.0053   0.99993   0.999965   9.71983e-09
45.2553   0.999933   0.999967   6.29113e-09
45.5053   0.999937   0.999968   -2.20914e-09
45.7553   0.99994   0.99997   -4.83132e-09
46.0053   0.999943   0.999971   1.75773e-08
46.2553   0.999945   0.999973   1.75629e-08
46.5053   0.999948   0.999974   5.05496e-09
46.7553   0.999951   0.999975   1.56695e-08
47.0053   0.999953   0.999976   2.04118e-09
47.2553   0.999955   0.999978   1.06243e-10
47.5053   0.999957   0.999979   -6.59721e-09
47.5196   0.999958   0.999979   1.23363e-08
47.534   0.999958   0.999979   1.3709e-08
47.5483   0.999958   0.999979   -2.19973e-09
47.5626   0.999958   0.999979   1.60754e-09
47.5769   0.999958   0.999979   1.40462e-08
47.5912   0.999958   0.999979   1.30905e-08
47.6056   0.999958   0.999979   -3.74818e-11
47.6199   0.999958   0.999979   1.41663e-08
47.6915   0.999959   0.999979   7.26648e-09
47.7631   0.99996   0.99998   5.31531e-09
47.8347   0.99996   0.99998   1.21063e-08
47.9063   0.999961   0.99998   -4.27016e-09
47.9349   0.999961   0.99998   8.85728e-09
47.9635   0.999961   0.999981   -9.17271e-09
47.9922   0.999961   0.999981   1.64222e-09
48.0208   0.999962   0.999981   2.76381e-08
48.0495   0.999962   0.999981   -2.38064e-09
48.0781   0.999962   0.999981   1.44681e-08
48.1067   0.999962   0.999981   1.26764e-08
48.1354   0.999962   0.999981   1.35694e-08
48.153   0.999963   0.999981   -2.66042e-09
48.1707   0.999963   0.999981   -6.21929e-09
48.1883   0.999963   0.999981   3.21058e-09
48.2059   0.999963   0.999981   1.89583e-08
48.2236   0.999963   0.999982   -2.70869e-09
48.2412   0.999963   0.999982   4.73861e-09
48.2589   0.999963   0.999982   1.4382e-08
48.2765   0.999963   0.999982   -9.87618e-10
48.2823   0.999963   0.999982   1.14535e-08
48.2882   0.999964   0.999982   4.79134e-09
48.294   0.999964   0.999982   7.45018e-09
48.2999   0.999964   0.999982   3.4649e-09
48.3057   0.999964   0.999982   1.32841e-08
48.3115   0.999964   0.999982   -3.76951e-09
48.3174   0.999964   0.999982   6.41193e-09
48.3232   0.999964   0.999982   2.98229e-09
48.3524   0.999964   0.999982   1.82505e-08
48.3816   0.999964   0.999982   -6.64878e-09
48.4108   0.999964   0.999982   -9.0428e-09
48.44   0.999965   0.999982   -1.25604e-08
48.4579   0.999965   0.999982   -2.22636e-09
48.4759   0.999965   0.999982   2.99644e-09
48.4938   0.999965   0.999982   8.27368e-09
48.5117   0.999965   0.999983   4.21249e-08
48.5297   0.999965   0.999983   1.57778e-08
48.5476   0.999965   0.999983   -1.81343e-09
48.5655   0.999965   0.999983   9.60857e-09
48.5835   0.999966   0.999983   4.30606e-09
48.5945   0.999966   0.999983   5.37297e-09
48.6054   0.999966   0.999983   -9.75744e-09
48.6164   0.999966   0.999983   1.87199e-08
48.6274   0.999966   0.999983   5.27048e-09
48.6384   0.999966   0.999983   2.74758e-09
48.6494   0.999966   0.999983   -8.05921e-09
48.6603   0.999966   0.999983   5.37656e-09
48.6713   0.999966   0.999983   1.38063e-08
48.6792   0.999966   0.999983   7.75442e-09
48.687   0.999966   0.999983   2.15878e-09
48.6949   0.999966   0.999983   1.01562e-08
48.7027   0.999966   0.999983   3.62949e-09
48.7106   0.999966   0.999983   9.05553e-09
48.7185   0.999967   0.999983   6.94858e-09
48.7263   0.999967   0.999983   9.38834e-09
48.7342   0.999967   0.999983   -1.17049e-08
48.7401   0.999967   0.999983   5.99138e-10
48.7461   0.999967   0.999983   -6.87014e-09
48.7521   0.999967   0.999983   2.05111e-08
48.758   0.999967   0.999983   -2.10374e-10
48.764   0.999967   0.999983   -7.62209e-09
48.77   0.999967   0.999983   5.45199e-09
48.7759   0.999967   0.999983   -1.62549e-08
48.7819   0.999967   0.999983   9.53468e-09
48.8117   0.999967   0.999984   -3.64309e-09
48.8416   0.999967   0.999984   -2.45658e-09
48.8714   0.999968   0.999984   6.65325e-09
48.9012   0.999968   0.999984   -7.02313e-09
48.9103   0.999968   0.999984   4.1287e-09
48.9195   0.999968   0.999984   8.17261e-09
48.9286   0.999968   0.999984   2.59161e-09
48.9378   0.999968   0.999984   1.91407e-09
48.9469   0.999968   0.999984   -1.52588e-09
48.956   0.999968   0.999984   -1.50709e-08
48.9652   0.999968   0.999984   1.44563e-08
48.9743   0.999968   0.999984   -3.16557e-09
49.02   0.999968   0.999984   -1.34326e-08
49.0656   0.999969   0.999984   1.46258e-09
49.1113   0.999969   0.999985   1.29252e-09
49.157   0.999969   0.999985   1.33814e-08
49.3853   0.999971   0.999985   9.02201e-09
49.6137   0.999972   0.999986   7.32791e-09
49.842   0.999973   0.999987   8.70113e-09
50.0704   0.999974   0.999987   2.13814e-08
50.0847   0.999974   0.999987   6.07053e-09
50.099   0.999975   0.999987   1.68615e-09
50.1133   0.999975   0.999987   1.31293e-08
50.1277   0.999975   0.999987   1.27397e-08
50.142   0.999975   0.999987   1.21012e-08
50.1563   0.999975   0.999987   8.90838e-09
50.1706   0.999975   0.999987   1.70583e-09
50.1849   0.999975   0.999987   1.6302e-08
50.2565   0.999975   0.999988   -5.51293e-09
50.3281   0.999976   0.999988   -9.55699e-09
50.3997   0.999976   0.999988   1.6026e-08
50.4713   0.999976   0.999988   1.38274e-08
50.7213   0.999978   0.999989   1.92934e-08
