#S1         S2       STVMSE
0   0   0
0   0.1   0
0   0.2   0
0   0.3   0
0   0.4   0
0   0.5   0
0   0.6   0
0   0.7   0
0   0.8   0
0   0.9   0
0   1   0
0   1.1   0
0   1.2   0
0   1.3   0
0   1.4   0
0   1.5   0
0   1.6   0
0   1.7   0
0   1.8   0
0   1.9   0
0   2   0
0   2.1   0
0   2.2   0
0   2.3   0
0   2.4   0
0   2.5   0
0   2.6   0
0   2.7   0
0   2.8   0
0   2.9   0
0   3   0

0.1   0   0.00946861
0.1   0.1   0.000751884
0.1   0.2   0.00318966
0.1   0.3   0.00328625
0.1   0.4   0.003288
0.1   0.5   0.003288
0.1   0.6   0.00328801
0.1   0.7   0.003288
0.1   0.8   0.003288
0.1   0.9   0.003288
0.1   1   0.003288
0.1   1.1   0.003288
0.1   1.2   0.00328801
0.1   1.3   0.003288
0.1   1.4   0.003288
0.1   1.5   0.00328801
0.1   1.6   0.003288
0.1   1.7   0.003288
0.1   1.8   0.003288
0.1   1.9   0.003288
0.1   2   0.003288
0.1   2.1   0.003288
0.1   2.2   0.003288
0.1   2.3   0.003288
0.1   2.4   0.00328801
0.1   2.5   0.00328801
0.1   2.6   0.003288
0.1   2.7   0.003288
0.1   2.8   0.00328821
0.1   2.9   0.003288
0.1   3   0.00328801

0.2   0   0.0357616
0.2   0.1   0.00889167
0.2   0.2   0.00166506
0.2   0.3   0.00934004
0.2   0.4   0.0108228
0.2   0.5   0.0111354
0.2   0.6   0.0111866
0.2   0.7   0.0111924
0.2   0.8   0.0111928
0.2   0.9   0.0111928
0.2   1   0.0111928
0.2   1.1   0.0111928
0.2   1.2   0.0111928
0.2   1.3   0.0111928
0.2   1.4   0.0111928
0.2   1.5   0.0111928
0.2   1.6   0.0111928
0.2   1.7   0.0111928
0.2   1.8   0.0111928
0.2   1.9   0.0111928
0.2   2   0.0111928
0.2   2.1   0.0111928
0.2   2.2   0.0111928
0.2   2.3   0.0111928
0.2   2.4   0.0111928
0.2   2.5   0.0111928
0.2   2.6   0.0111928
0.2   2.7   0.0111928
0.2   2.8   0.0111928
0.2   2.9   0.0111928
0.2   3   0.0111928

0.3   0   0.0757661
0.3   0.1   0.0329703
0.3   0.2   0.00877911
0.3   0.3   0.00183432
0.3   0.4   0.0146866
0.3   0.5   0.0189238
0.3   0.6   0.0204554
0.3   0.7   0.0209915
0.3   0.8   0.0211582
0.3   0.9   0.0212025
0.3   1   0.0212123
0.3   1.1   0.0212142
0.3   1.2   0.0212144
0.3   1.3   0.0212145
0.3   1.4   0.0212145
0.3   1.5   0.0212145
0.3   1.6   0.0212145
0.3   1.7   0.0212145
0.3   1.8   0.0212145
0.3   1.9   0.0212145
0.3   2   0.0212145
0.3   2.1   0.0212145
0.3   2.2   0.0212145
0.3   2.3   0.0212145
0.3   2.4   0.0212145
0.3   2.5   0.0212145
0.3   2.6   0.0212145
0.3   2.7   0.0212145
0.3   2.8   0.0212145
0.3   2.9   0.0212145
0.3   3   0.0212145

0.4   0   0.126492
0.4   0.1   0.0692238
0.4   0.2   0.0310985
0.4   0.3   0.00978199
0.4   0.4   0.00136844
0.4   0.5   0.0177089
0.4   0.6   0.0252138
0.4   0.7   0.0286461
0.4   0.8   0.0302482
0.4   0.9   0.0309676
0.4   1   0.0312687
0.4   1.1   0.031384
0.4   1.2   0.0314239
0.4   1.3   0.0314363
0.4   1.4   0.0314398
0.4   1.5   0.0314407
0.4   1.6   0.0314409
0.4   1.7   0.031441
0.4   1.8   0.031441
0.4   1.9   0.031441
0.4   2   0.031441
0.4   2.1   0.031441
0.4   2.2   0.031441
0.4   2.3   0.031441
0.4   2.4   0.031441
0.4   2.5   0.031441
0.4   2.6   0.031441
0.4   2.7   0.031441
0.4   2.8   0.031441
0.4   2.9   0.031441
0.4   3   0.031441

0.5   0   0.185128
0.5   0.1   0.114833
0.5   0.2   0.063908
0.5   0.3   0.0311854
0.5   0.4   0.0122735
0.5   0.5   0.000739111
0.5   0.6   0.0182874
0.5   0.7   0.0287408
0.5   0.8   0.0342879
0.5   0.9   0.0373055
0.5   1   0.0389278
0.5   1.1   0.0397708
0.5   1.2   0.0401881
0.5   1.3   0.0403829
0.5   1.4   0.0404681
0.5   1.5   0.0405029
0.5   1.6   0.0405162
0.5   1.7   0.0405209
0.5   1.8   0.0405224
0.5   1.9   0.0405229
0.5   2   0.040523
0.5   2.1   0.0405231
0.5   2.2   0.0405231
0.5   2.3   0.0405231
0.5   2.4   0.0405231
0.5   2.5   0.0405231
0.5   2.6   0.0405231
0.5   2.7   0.0405231
0.5   2.8   0.0405231
0.5   2.9   0.0405231
0.5   3   0.0405231

0.6   0   0.249086
0.6   0.1   0.167158
0.6   0.2   0.104726
0.6   0.3   0.0610536
0.6   0.4   0.033986
0.6   0.5   0.01617
0.6   0.6   0.000289105
0.6   0.7   0.0170483
0.6   0.8   0.0295301
0.6   0.9   0.0369721
0.6   1   0.0414532
0.6   1.1   0.0441384
0.6   1.2   0.0457175
0.6   1.3   0.0466194
0.6   1.4   0.0471158
0.6   1.5   0.0473771
0.6   1.6   0.0475087
0.6   1.7   0.0475718
0.6   1.8   0.0476005
0.6   1.9   0.047613
0.6   2   0.0476181
0.6   2.1   0.0476201
0.6   2.2   0.0476208
0.6   2.3   0.0476211
0.6   2.4   0.0476212
0.6   2.5   0.0476212
0.6   2.6   0.0476212
0.6   2.7   0.0476212
0.6   2.8   0.0476212
0.6   2.9   0.0476212
0.6   3   0.0476212

0.7   0   0.316042
0.7   0.1   0.223806
0.7   0.2   0.151146
0.7   0.3   0.0975308
0.7   0.4   0.0616516
0.7   0.5   0.0398433
0.7   0.6   0.0206529
0.7   0.7   8.00858e-05
0.7   0.8   0.0148141
0.7   0.9   0.0281654
0.7   1   0.0369719
0.7   1.1   0.0427048
0.7   1.2   0.0464104
0.7   1.3   0.0487733
0.7   1.4   0.0502499
0.7   1.5   0.0511493
0.7   1.6   0.0516809
0.7   1.7   0.0519847
0.7   1.8   0.0521522
0.7   1.9   0.0522411
0.7   2   0.0522865
0.7   2.1   0.0523088
0.7   2.2   0.0523193
0.7   2.3   0.0523241
0.7   2.4   0.0523262
0.7   2.5   0.052327
0.7   2.6   0.0523274
0.7   2.7   0.0523275
0.7   2.8   0.0523276
0.7   2.9   0.0523276
0.7   3   0.0523276

0.8   0   0.383958
0.8   0.1   0.28266
0.8   0.2   0.200992
0.8   0.3   0.138538
0.8   0.4   0.0943863
0.8   0.5   0.0663519
0.8   0.6   0.048385
0.8   0.7   0.0240345
0.8   0.8   1.53449e-05
0.8   0.9   0.0122672
0.8   1   0.0254211
0.8   1.1   0.034923
0.8   1.2   0.0415263
0.8   1.3   0.0460516
0.8   1.4   0.0491119
0.8   1.5   0.0511476
0.8   1.6   0.0524752
0.8   1.7   0.0533213
0.8   1.8   0.0538468
0.8   1.9   0.0541643
0.8   2   0.0543505
0.8   2.1   0.0544564
0.8   2.2   0.0545148
0.8   2.3   0.054546
0.8   2.4   0.0545622
0.8   2.5   0.0545703
0.8   2.6   0.0545742
0.8   2.7   0.054576
0.8   2.8   0.0545769
0.8   2.9   0.0545773
0.8   3   0.0545774

0.9   0   0.451104
0.9   0.1   0.341899
0.9   0.2   0.252364
0.9   0.3   0.182154
0.9   0.4   0.130575
0.9   0.5   0.0961349
0.9   0.6   0.0752282
0.9   0.7   0.0580415
0.9   0.8   0.0242921
0.9   0.9   2.03208e-06
0.9   1   0.00983429
0.9   1.1   0.0220135
0.9   1.2   0.031562
0.9   1.3   0.038588
0.9   1.4   0.0436413
0.9   1.5   0.047219
0.9   1.6   0.0497127
0.9   1.7   0.0514211
0.9   1.8   0.0525694
0.9   1.9   0.0533252
0.9   2   0.0538115
0.9   2.1   0.0541169
0.9   2.2   0.054304
0.9   2.3   0.0544157
0.9   2.4   0.0544806
0.9   2.5   0.0545174
0.9   2.6   0.0545377
0.9   2.7   0.0545485
0.9   2.8   0.0545542
0.9   2.9   0.0545571
0.9   3   0.0545586

1   0   0.516059
1   0.1   0.40001
1   0.2   0.303661
1   0.3   0.226714
1   0.4   0.168608
1   0.5   0.128226
1   0.6   0.103133
1   0.7   0.0873492
1   0.8   0.065475
1   0.9   0.0207642
1   1   1.86715e-07
1   1.1   0.00771897
1   1.2   0.0184798
1   1.3   0.0275535
1   1.4   0.0345787
1   1.5   0.0398443
