# S1 S2 MSE
0.00 0.00 0.09027
0.00 0.10 0.08958
0.00 0.20 0.09431
0.00 0.30 0.13441
0.00 0.40 0.10327
0.00 0.50 0.09472
0.00 0.60 0.12466
0.00 0.70 0.09192
0.00 0.80 0.12216
0.00 0.90 0.08274
0.00 1.00 0.11993
0.00 1.10 0.11539
0.00 1.20 0.10484
0.00 1.30 0.10229
0.00 1.40 0.09256
0.00 1.50 0.11895
0.00 1.60 0.09543
0.00 1.70 0.11400
0.00 1.80 0.09607
0.00 1.90 0.09988
0.00 2.00 0.10429
0.00 2.10 0.09243
0.00 2.20 0.11385
0.00 2.30 0.09155
0.00 2.40 0.11397
0.00 2.50 0.10631
0.00 2.60 0.11152
0.00 2.70 0.08237
0.00 2.80 0.07931
0.00 2.90 0.11240
0.00 3.00 0.10537

0.10 0.00 0.11592
0.10 0.10 0.08574
0.10 0.20 0.13018
0.10 0.30 0.10191
0.10 0.40 0.11278
0.10 0.50 0.11260
0.10 0.60 0.09415
0.10 0.70 0.11547
0.10 0.80 0.11146
0.10 0.90 0.11549
0.10 1.00 0.09465
0.10 1.10 0.14474
0.10 1.20 0.11965
0.10 1.30 0.12729
0.10 1.40 0.09601
0.10 1.50 0.09219
0.10 1.60 0.09556
0.10 1.70 0.08452
0.10 1.80 0.10219
0.10 1.90 0.11511
0.10 2.00 0.09121
0.10 2.10 0.08713
0.10 2.20 0.10103
0.10 2.30 0.09047
0.10 2.40 0.11656
0.10 2.50 0.11528
0.10 2.60 0.09410
0.10 2.70 0.09880
0.10 2.80 0.11467
0.10 2.90 0.08080
0.10 3.00 0.09029

0.20 0.00 0.14659
0.20 0.10 0.09811
0.20 0.20 0.11212
0.20 0.30 0.14849
0.20 0.40 0.12791
0.20 0.50 0.09033
0.20 0.60 0.12064
0.20 0.70 0.08594
0.20 0.80 0.11876
0.20 0.90 0.13797
0.20 1.00 0.11620
0.20 1.10 0.12069
0.20 1.20 0.09114
0.20 1.30 0.10661
0.20 1.40 0.12301
0.20 1.50 0.12260
0.20 1.60 0.12340
0.20 1.70 0.10716
0.20 1.80 0.10763
0.20 1.90 0.13446
0.20 2.00 0.09856
0.20 2.10 0.13457
0.20 2.20 0.09788
0.20 2.30 0.12197
0.20 2.40 0.10494
0.20 2.50 0.10778
0.20 2.60 0.13257
0.20 2.70 0.14355
0.20 2.80 0.12876
0.20 2.90 0.09824
0.20 3.00 0.12244

0.30 0.00 0.17696
0.30 0.10 0.12675
0.30 0.20 0.11670
0.30 0.30 0.09153
0.30 0.40 0.14082
0.30 0.50 0.09693
0.30 0.60 0.09704
0.30 0.70 0.14507
0.30 0.80 0.14642
0.30 0.90 0.08454
0.30 1.00 0.13124
0.30 1.10 0.12661
0.30 1.20 0.14218
0.30 1.30 0.14016
0.30 1.40 0.09733
0.30 1.50 0.12849
0.30 1.60 0.10449
0.30 1.70 0.15717
0.30 1.80 0.12828
0.30 1.90 0.08200
0.30 2.00 0.15190
0.30 2.10 0.18453
0.30 2.20 0.16925
0.30 2.30 0.16496
0.30 2.40 0.12568
0.30 2.50 0.11874
0.30 2.60 0.13326
0.30 2.70 0.11953
0.30 2.80 0.09588
0.30 2.90 0.12190
0.30 3.00 0.13823

0.40 0.00 0.23566
0.40 0.10 0.17843
0.40 0.20 0.12725
0.40 0.30 0.14794
0.40 0.40 0.12132
0.40 0.50 0.12096
0.40 0.60 0.13108
0.40 0.70 0.15453
0.40 0.80 0.11169
0.40 0.90 0.12513
0.40 1.00 0.11548
0.40 1.10 0.14894
0.40 1.20 0.12491
0.40 1.30 0.16685
0.40 1.40 0.15946
0.40 1.50 0.15597
0.40 1.60 0.14622
0.40 1.70 0.11086
0.40 1.80 0.13761
0.40 1.90 0.12651
0.40 2.00 0.18597
0.40 2.10 0.15657
0.40 2.20 0.14603
0.40 2.30 0.13182
0.40 2.40 0.16027
0.40 2.50 0.19153
0.40 2.60 0.14289
0.40 2.70 0.11143
0.40 2.80 0.14925
0.40 2.90 0.15374
0.40 3.00 0.14475

0.50 0.00 0.33865
0.50 0.10 0.22419
0.50 0.20 0.17981
0.50 0.30 0.13010
0.50 0.40 0.12742
0.50 0.50 0.10532
0.50 0.60 0.10394
0.50 0.70 0.14682
0.50 0.80 0.15566
0.50 0.90 0.13821
0.50 1.00 0.16823
0.50 1.10 0.18341
0.50 1.20 0.16894
0.50 1.30 0.13305
0.50 1.40 0.10812
0.50 1.50 0.21516
0.50 1.60 0.14570
0.50 1.70 0.13076
0.50 1.80 0.15673
0.50 1.90 0.12298
0.50 2.00 0.13544
0.50 2.10 0.17179
0.50 2.20 0.17390
0.50 2.30 0.17617
0.50 2.40 0.14477
0.50 2.50 0.21035
0.50 2.60 0.12599
0.50 2.70 0.10933
0.50 2.80 0.14710
0.50 2.90 0.14695
0.50 3.00 0.15641

0.60 0.00 0.36163
0.60 0.10 0.22820
0.60 0.20 0.19485
0.60 0.30 0.18009
0.60 0.40 0.15535
0.60 0.50 0.15356
0.60 0.60 0.10716
0.60 0.70 0.09650
0.60 0.80 0.13718
0.60 0.90 0.12445
0.60 1.00 0.14332
0.60 1.10 0.16725
0.60 1.20 0.14251
0.60 1.30 0.13574
0.60 1.40 0.13591
0.60 1.50 0.13522
0.60 1.60 0.15673
0.60 1.70 0.16072
0.60 1.80 0.15450
0.60 1.90 0.09634
0.60 2.00 0.15699
0.60 2.10 0.15246
0.60 2.20 0.15167
0.60 2.30 0.15734
0.60 2.40 0.10973
0.60 2.50 0.17097
0.60 2.60 0.20908
0.60 2.70 0.17552
0.60 2.80 0.15725
0.60 2.90 0.14294
0.60 3.00 0.13163

0.70 0.00 0.38766
0.70 0.10 0.29385
0.70 0.20 0.23099
0.70 0.30 0.19720
0.70 0.40 0.12723
0.70 0.50 0.15518
0.70 0.60 0.19471
0.70 0.70 0.10822
0.70 0.80 0.11447
0.70 0.90 0.15184
0.70 1.00 0.11813
0.70 1.10 0.14405
0.70 1.20 0.15823
0.70 1.30 0.14643
0.70 1.40 0.13342
0.70 1.50 0.16462
0.70 1.60 0.16105
0.70 1.70 0.16827
0.70 1.80 0.13416
0.70 1.90 0.16914
0.70 2.00 0.18455
0.70 2.10 0.19276
0.70 2.20 0.19325
0.70 2.30 0.17374
0.70 2.40 0.15763
0.70 2.50 0.12122
0.70 2.60 0.15471
0.70 2.70 0.13844
0.70 2.80 0.12032
0.70 2.90 0.15823
0.70 3.00 0.16828

0.80 0.00 0.52062
0.80 0.10 0.34716
0.80 0.20 0.23424
0.80 0.30 0.27427
0.80 0.40 0.18187
0.80 0.50 0.15284
0.80 0.60 0.17513
0.80 0.70 0.17825
0.80 0.80 0.06959
0.80 0.90 0.10649
0.80 1.00 0.10812
0.80 1.10 0.10541
0.80 1.20 0.17593
0.80 1.30 0.15217
0.80 1.40 0.19350
0.80 1.50 0.14063
0.80 1.60 0.13037
0.80 1.70 0.14534
0.80 1.80 0.14750
0.80 1.90 0.16764
0.80 2.00 0.15296
0.80 2.10 0.17171
0.80 2.20 0.18011
0.80 2.30 0.12026
0.80 2.40 0.15821
0.80 2.50 0.13948
0.80 2.60 0.17647
0.80 2.70 0.15348
0.80 2.80 0.11509
0.80 2.90 0.20438
0.80 3.00 0.16512

0.90 0.00 0.62144
0.90 0.10 0.40726
