#time     MSE
0.000000   0.18877
0.500000   0.17459
1.000000   0.16005
1.500000   0.15128
2.000000   0.13752
2.500000   0.13166
3.000000   0.12532
3.500000   0.11253
4.000000   0.10588
4.500000   0.10510
5.000000   0.09830
5.500000   0.09267
6.000000   0.08404
6.500000   0.08001
7.000000   0.07846
7.500000   0.07737
8.000000   0.07074
8.500000   0.06774
9.000000   0.06674
9.500000   0.06387
10.000000   0.06359
10.500000   0.06206
11.000000   0.05463
11.500000   0.05660
12.000000   0.05432
12.500000   0.05475
13.000000   0.05478
13.500000   0.05232
14.000000   0.05134
14.500000   0.04722
15.000000   0.04952
15.500000   0.04795
16.000000   0.04678
16.500000   0.04583
17.000000   0.04807
17.500000   0.04529
18.000000   0.04451
18.500000   0.04425
19.000000   0.04399
19.500000   0.04126
20.000000   0.04274
20.500000   0.04320
21.000000   0.04108
21.500000   0.04407
22.000000   0.04146
22.500000   0.04195
23.000000   0.04655
23.500000   0.04353
24.000000   0.04118
24.500000   0.04103
25.000000   0.04129
25.500000   0.03947
26.000000   0.04054
26.500000   0.04063
27.000000   0.03915
27.500000   0.04239
28.000000   0.03915
28.500000   0.04068
29.000000   0.04067
29.500000   0.03915
30.000000   0.03973
30.500000   0.04138
31.000000   0.04197
31.500000   0.03984
32.000000   0.03984
32.500000   0.03795
33.000000   0.03949
33.500000   0.03812
34.000000   0.03837
34.500000   0.03942
35.000000   0.03991
35.500000   0.03908
36.000000   0.04080
36.500000   0.04085
37.000000   0.03960
37.500000   0.03912
38.000000   0.03836
38.500000   0.03975
39.000000   0.04117
39.500000   0.03900
40.000000   0.03742
40.500000   0.03964
41.000000   0.04079
41.500000   0.03762
42.000000   0.03837
42.500000   0.03805
43.000000   0.03842
43.500000   0.03922
44.000000   0.03989
44.500000   0.03964
45.000000   0.03864
45.500000   0.03974
46.000000   0.03880
46.500000   0.03963
47.000000   0.04045
47.500000   0.04233
48.000000   0.03723
48.500000   0.03768
49.000000   0.04132
49.500000   0.03665
50.000000   0.03961
50.500000   0.03852
51.000000   0.04089
51.500000   0.03814
52.000000   0.03957
52.500000   0.03938
53.000000   0.03945
53.500000   0.04003
54.000000   0.03958
54.500000   0.04018
55.000000   0.03992
55.500000   0.03590
56.000000   0.03882
56.500000   0.03724
57.000000   0.03817
57.500000   0.03776
58.000000   0.03700
58.500000   0.03891
59.000000   0.03966
59.500000   0.03817
60.000000   0.03965
60.500000   0.03872
61.000000   0.03926
61.500000   0.03890
62.000000   0.03733
62.500000   0.03851
63.000000   0.03681
63.500000   0.03722
64.000000   0.03843
64.500000   0.03900
65.000000   0.03714
65.500000   0.03863
66.000000   0.03730
66.500000   0.04019
67.000000   0.03885
67.500000   0.03729
68.000000   0.03928
68.500000   0.03871
69.000000   0.04161
69.500000   0.03776
70.000000   0.03912
70.500000   0.03953
71.000000   0.04082
71.500000   0.04042
72.000000   0.03922
72.500000   0.03757
73.000000   0.03686
73.500000   0.03715
74.000000   0.03817
74.500000   0.04082
75.000000   0.03847
75.500000   0.03839
76.000000   0.03828
76.500000   0.03980
77.000000   0.03937
77.500000   0.03561
78.000000   0.04022
78.500000   0.04117
79.000000   0.03972
79.500000   0.03955
80.000000   0.03831
80.500000   0.04002
81.000000   0.04099
81.500000   0.03827
82.000000   0.03951
82.500000   0.03769
83.000000   0.03836
83.500000   0.04047
84.000000   0.03883
84.500000   0.04047
85.000000   0.03943
85.500000   0.04100
86.000000   0.03759
86.500000   0.03835
87.000000   0.04044
87.500000   0.03685
88.000000   0.03991
88.500000   0.03836
89.000000   0.03857
89.500000   0.03928
90.000000   0.03936
90.500000   0.03971
91.000000   0.03745
91.500000   0.03938
92.000000   0.03854
92.500000   0.03575
93.000000   0.03740
93.500000   0.03762
94.000000   0.03718
94.500000   0.03924
95.000000   0.03986
95.500000   0.03951
96.000000   0.04081
96.500000   0.03865
97.000000   0.03921
97.500000   0.03741
98.000000   0.03841
98.500000   0.03816
99.000000   0.03891
99.500000   0.03810
100.000000   0.04039
