#time     MSE
0.000000   0.52766
0.500000   0.48070
1.000000   0.42041
1.500000   0.39090
2.000000   0.36932
2.500000   0.33401
3.000000   0.32114
3.500000   0.29391
4.000000   0.26930
4.500000   0.23845
5.000000   0.23891
5.500000   0.22994
6.000000   0.20990
6.500000   0.19693
7.000000   0.19109
7.500000   0.17607
8.000000   0.16870
8.500000   0.16755
9.000000   0.15250
9.500000   0.14898
10.000000   0.15578
10.500000   0.14565
11.000000   0.13442
11.500000   0.14167
12.000000   0.13184
12.500000   0.13031
13.000000   0.12775
13.500000   0.12692
14.000000   0.11454
14.500000   0.12062
15.000000   0.11973
15.500000   0.11048
16.000000   0.11470
16.500000   0.11255
17.000000   0.11343
17.500000   0.11027
18.000000   0.11197
18.500000   0.10947
19.000000   0.10891
19.500000   0.10216
20.000000   0.10498
20.500000   0.10742
21.000000   0.10360
21.500000   0.11004
22.000000   0.10807
22.500000   0.10199
23.000000   0.10474
23.500000   0.10745
24.000000   0.11110
24.500000   0.09681
25.000000   0.10488
25.500000   0.10337
26.000000   0.10887
26.500000   0.10994
27.000000   0.10552
27.500000   0.10604
28.000000   0.10905
28.500000   0.10463
29.000000   0.10265
29.500000   0.10725
30.000000   0.10281
30.500000   0.10484
31.000000   0.10685
31.500000   0.10425
32.000000   0.10560
32.500000   0.10644
33.000000   0.11218
33.500000   0.10633
34.000000   0.10484
34.500000   0.10709
35.000000   0.10762
35.500000   0.10228
36.000000   0.10556
36.500000   0.10951
37.000000   0.10808
37.500000   0.10775
38.000000   0.10828
38.500000   0.10651
39.000000   0.10436
39.500000   0.10346
40.000000   0.10207
40.500000   0.10311
41.000000   0.11085
41.500000   0.10554
42.000000   0.10575
42.500000   0.10864
43.000000   0.10872
43.500000   0.10420
44.000000   0.11280
44.500000   0.11694
45.000000   0.11048
45.500000   0.10517
46.000000   0.10834
46.500000   0.10513
47.000000   0.11519
47.500000   0.11307
48.000000   0.10535
48.500000   0.10719
49.000000   0.10996
49.500000   0.11034
50.000000   0.11376
50.500000   0.10952
51.000000   0.10764
51.500000   0.10752
52.000000   0.10650
52.500000   0.10502
53.000000   0.11148
53.500000   0.11256
54.000000   0.11351
54.500000   0.11063
55.000000   0.11817
55.500000   0.11244
56.000000   0.10763
56.500000   0.11185
57.000000   0.10763
57.500000   0.11166
58.000000   0.11009
58.500000   0.10901
59.000000   0.11339
59.500000   0.11060
60.000000   0.10972
60.500000   0.11134
61.000000   0.11477
61.500000   0.10995
62.000000   0.11375
62.500000   0.11001
63.000000   0.10760
63.500000   0.11208
64.000000   0.11332
64.500000   0.11284
65.000000   0.11214
65.500000   0.11077
66.000000   0.11564
66.500000   0.11321
67.000000   0.11612
67.500000   0.11031
68.000000   0.11073
68.500000   0.12077
69.000000   0.11425
69.500000   0.11464
70.000000   0.10758
70.500000   0.11252
71.000000   0.11132
71.500000   0.10837
72.000000   0.11256
72.500000   0.11790
73.000000   0.11661
73.500000   0.11507
74.000000   0.11375
74.500000   0.11218
75.000000   0.11833
75.500000   0.11438
76.000000   0.10909
76.500000   0.11197
77.000000   0.11874
77.500000   0.11644
78.000000   0.11573
78.500000   0.11623
79.000000   0.11894
79.500000   0.11022
80.000000   0.11555
80.500000   0.11008
81.000000   0.11770
81.500000   0.11392
82.000000   0.10689
82.500000   0.11275
83.000000   0.11609
83.500000   0.11770
84.000000   0.11622
84.500000   0.11503
85.000000   0.11563
85.500000   0.11892
86.000000   0.11370
86.500000   0.11504
87.000000   0.11606
87.500000   0.11424
88.000000   0.11354
88.500000   0.11467
89.000000   0.11887
89.500000   0.11986
90.000000   0.11013
90.500000   0.11634
91.000000   0.12056
91.500000   0.12086
92.000000   0.11370
92.500000   0.11589
93.000000   0.10906
93.500000   0.11887
94.000000   0.11677
94.500000   0.11892
95.000000   0.11555
95.500000   0.11453
96.000000   0.11918
96.500000   0.11246
97.000000   0.11245
97.500000   0.11812
98.000000   0.11933
98.500000   0.11273
99.000000   0.11459
99.500000   0.12188
100.000000   0.11615
