#S2/S1     MSE
0.00   0.073289
0.10   0.061644
0.20   0.044031
0.30   0.033732
0.40   0.027818
0.50   0.019061
0.60   0.013046
0.70   0.008053
0.80   0.005674
0.90   0.005879
1.00   0.000001
1.10   0.008656
1.20   0.012794
1.30   0.014886
1.40   0.016570
1.50   0.020020
1.60   0.018203
1.70   0.015991
1.80   0.020576
1.90   0.019316
2.00   0.019794
2.10   0.018579
2.20   0.020074
2.30   0.021512
2.40   0.019818
2.50   0.020419
2.60   0.021656
2.70   0.020698
2.80   0.020951
2.90   0.017002
3.00   0.021474
