#S2/S1     MSE
0.00   0.826635
0.10   0.566270
0.20   0.445483
0.30   0.359745
0.40   0.281000
0.50   0.351241
0.60   0.312954
0.70   0.069217
0.80   0.021201
0.90   0.004091
1.00   0.000000
1.10   0.002832
1.20   0.004573
1.30   0.005071
1.40   0.007884
1.50   0.020548
1.60   0.017790
1.70   0.002205
1.80   0.001932
1.90   0.003520
2.00   0.002204
2.10   0.002454
2.20   0.003641
2.30   0.004256
2.40   0.002767
2.50   0.003497
2.60   0.004822
2.70   0.004678
2.80   0.009694
2.90   0.004182
3.00   0.007761
