#S1	S2	MSE
0.00	0.00	1.0000000000e+00
0.00	0.10	1.0000000000e+00
0.00	0.20	1.0000000000e+00
0.00	0.30	1.0000000000e+00
0.00	0.40	1.0000000000e+00
0.00	0.50	1.0000000000e+00
0.00	0.60	1.0000000000e+00
0.00	0.70	1.0000000000e+00
0.00	0.80	1.0000000000e+00
0.00	0.90	1.0000000000e+00
0.00	1.00	1.0000000000e+00
0.00	1.10	1.0000000000e+00
0.00	1.20	1.0000000000e+00
0.00	1.30	1.0000000000e+00
0.00	1.40	1.0000000000e+00
0.00	1.50	1.0000000000e+00
0.00	1.60	1.0000000000e+00
0.00	1.70	1.0000000000e+00
0.00	1.80	1.0000000000e+00
0.00	1.90	1.0000000000e+00
0.00	2.00	1.0000000000e+00
0.00	2.10	1.0000000000e+00
0.00	2.20	1.0000000000e+00
0.00	2.30	1.0000000000e+00
0.00	2.40	1.0000000000e+00
0.00	2.50	1.0000000000e+00
0.00	2.60	1.0000000000e+00
0.00	2.70	1.0000000000e+00
0.00	2.80	1.0000000000e+00
0.00	2.90	1.0000000000e+00
0.00	3.00	1.0000000000e+00
0.10	0.00	1.0000000000e+00
0.10	0.10	2.3706092776e-04
0.10	0.20	5.6556035850e-03
0.10	0.30	6.2097484873e-03
0.10	0.40	6.2463243092e-03
0.10	0.50	6.2471571866e-03
0.10	0.60	6.2471636316e-03
0.10	0.70	6.2471636489e-03
0.10	0.80	6.2471636489e-03
0.10	0.90	6.2471636489e-03
0.10	1.00	6.2471636489e-03
0.10	1.10	6.2471636489e-03
0.10	1.20	6.2471636489e-03
0.10	1.30	6.2471636489e-03
0.10	1.40	6.2471636489e-03
0.10	1.50	6.2471636489e-03
0.10	1.60	6.2471636489e-03
0.10	1.70	6.2471636489e-03
0.10	1.80	6.2471636489e-03
0.10	1.90	6.2471636489e-03
0.10	2.00	6.2471636489e-03
0.10	2.10	6.2471636489e-03
0.10	2.20	6.2471636489e-03
0.10	2.30	6.2471636489e-03
0.10	2.40	6.2471636489e-03
0.10	2.50	6.2471636489e-03
0.10	2.60	6.2471636489e-03
0.10	2.70	6.2471636489e-03
0.10	2.80	6.2471636489e-03
0.10	2.90	6.2471636489e-03
0.10	3.00	6.2471636489e-03
0.20	0.00	1.0000000000e+00
0.20	0.10	9.0485871257e-03
0.20	0.20	1.3685244384e-04
0.20	0.30	1.5113060136e-02
0.20	0.40	1.9279670112e-02
0.20	0.50	2.0740014535e-02
0.20	0.60	2.1158671329e-02
0.20	0.70	2.1249687323e-02
0.20	0.80	2.1264384275e-02
0.20	0.90	2.1266147500e-02
0.20	1.00	2.1266305547e-02
0.20	1.10	2.1266316183e-02
0.20	1.20	2.1266316722e-02
0.20	1.30	2.1266316742e-02
0.20	1.40	2.1266316743e-02
0.20	1.50	2.1266316743e-02
0.20	1.60	2.1266316743e-02
0.20	1.70	2.1266316743e-02
0.20	1.80	2.1266316743e-02
0.20	1.90	2.1266316743e-02
0.20	2.00	2.1266316743e-02
0.20	2.10	2.1266316743e-02
0.20	2.20	2.1266316743e-02
0.20	2.30	2.1266316743e-02
0.20	2.40	2.1266316743e-02
0.20	2.50	2.1266316743e-02
0.20	2.60	2.1266316743e-02
0.20	2.70	2.1266316743e-02
0.20	2.80	2.1266316743e-02
0.20	2.90	2.1266316743e-02
0.20	3.00	2.1266316743e-02
0.30	0.00	1.0000000000e+00
0.30	0.10	3.3060984542e-02
0.30	0.20	1.0016045349e-02
0.30	0.30	1.3017737477e-05
0.30	0.40	2.2888227088e-02
0.30	0.50	3.2069085370e-02
0.30	0.60	3.6632665187e-02
0.30	0.70	3.8823064811e-02
0.30	0.80	3.9775010251e-02
0.30	0.90	4.0139558676e-02
0.30	1.00	4.0261083161e-02
0.30	1.10	4.0296210117e-02
0.30	1.20	4.0305017156e-02
0.30	1.30	4.0306936066e-02
0.30	1.40	4.0307300151e-02
0.30	1.50	4.0307360409e-02
0.30	1.60	4.0307369119e-02
0.30	1.70	4.0307370220e-02
0.30	1.80	4.0307370341e-02
0.30	1.90	4.0307370353e-02
0.30	2.00	4.0307370354e-02
0.30	2.10	4.0307370354e-02
0.30	2.20	4.0307370354e-02
0.30	2.30	4.0307370354e-02
0.30	2.40	4.0307370354e-02
0.30	2.50	4.0307370354e-02
0.30	2.60	4.0307370354e-02
0.30	2.70	4.0307370354e-02
0.30	2.80	4.0307370354e-02
0.30	2.90	4.0307370354e-02
0.30	3.00	4.0307370354e-02
0.40	0.00	1.0000000000e+00
0.40	0.10	6.9287560706e-02
0.40	0.20	3.1834222332e-02
0.40	0.30	1.3924191110e-02
0.40	0.40	1.0874042139e-07
0.40	0.50	2.7295349121e-02
0.40	0.60	4.1529085742e-02
0.40	0.70	4.9720390868e-02
0.40	0.80	5.4485179106e-02
0.40	0.90	5.7149787882e-02
0.40	1.00	5.8549861132e-02
0.40	1.10	5.9232414247e-02
0.40	1.20	5.9539026515e-02
0.40	1.30	5.9665527061e-02
0.40	1.40	5.9713415988e-02
0.40	1.50	5.9730056540e-02
0.40	1.60	5.9735368818e-02
0.40	1.70	5.9736928424e-02
0.40	1.80	5.9737349897e-02
0.40	1.90	5.9737454822e-02
0.40	2.00	5.9737478899e-02
0.40	2.10	5.9737483995e-02
0.40	2.20	5.9737484990e-02
0.40	2.30	5.9737485169e-02
0.40	2.40	5.9737485199e-02
0.40	2.50	5.9737485203e-02
0.40	2.60	5.9737485204e-02
0.40	2.70	5.9737485204e-02
0.40	2.80	5.9737485204e-02
0.40	2.90	5.9737485204e-02
0.40	3.00	5.9737485204e-02
0.50	0.00	1.0000000000e+00
0.50	0.10	1.1488201045e-01
0.50	0.20	6.4430951943e-02
0.50	0.30	3.3725337353e-02
0.50	0.40	2.2131684139e-02
0.50	0.50	NaN
0.50	0.60	2.8330443246e-02
0.50	0.70	4.6732575863e-02
0.50	0.80	5.8351497517e-02
0.50	0.90	6.5822976853e-02
0.50	1.00	7.0548899470e-02
0.50	1.10	7.3437150023e-02
0.50	1.20	7.5124744927e-02
0.50	1.30	7.6061256012e-02
0.50	1.40	7.6552845949e-02
0.50	1.50	7.6796379982e-02
0.50	1.60	7.6910132113e-02
0.50	1.70	7.6960220948e-02
0.50	1.80	7.6981020188e-02
0.50	1.90	7.6989169390e-02
0.50	2.00	7.6992183793e-02
0.50	2.10	7.6993237081e-02
0.50	2.20	7.6993584909e-02
0.50	2.30	7.6993693508e-02
0.50	2.40	7.6993725577e-02
0.50	2.50	7.6993734536e-02
0.50	2.60	7.6993736904e-02
0.50	2.70	7.6993737497e-02
0.50	2.80	7.6993737637e-02
0.50	2.90	7.6993737668e-02
0.50	3.00	7.6993737675e-02
0.60	0.00	1.0000000000e+00
0.60	0.10	1.6719896345e-01
0.60	0.20	1.0513543051e-01
0.60	0.30	6.2880786728e-02
0.60	0.40	4.0234329095e-02
0.60	0.50	3.5724076880e-02
0.60	0.60	NaN
0.60	0.70	2.6821960972e-02
0.60	0.80	4.7934257012e-02
0.60	0.90	6.2302963785e-02
0.60	1.00	7.2173799716e-02
0.60	1.10	7.8893569482e-02
0.60	1.20	8.3370245449e-02
0.60	1.30	8.6264999778e-02
0.60	1.40	8.8071866224e-02
0.60	1.50	8.9156457015e-02
0.60	1.60	8.9780994532e-02
0.60	1.70	9.0125470523e-02
0.60	1.80	9.0307333108e-02
0.60	1.90	9.0399211773e-02
0.60	2.00	9.0443636149e-02
0.60	2.10	9.0464199450e-02
0.60	2.20	9.0473315224e-02
0.60	2.30	9.0477186850e-02
0.60	2.40	9.0478762834e-02
0.60	2.50	9.0479377885e-02
0.60	2.60	9.0479608078e-02
0.60	2.70	9.0479690720e-02
0.60	2.80	9.0479719186e-02
0.60	2.90	9.0479728594e-02
0.60	3.00	9.0479731579e-02
0.70	0.00	1.0000000000e+00
0.70	0.10	2.2384118407e-01
0.70	0.20	1.5148560031e-01
0.70	0.30	9.8970985385e-02
0.70	0.40	6.6199000040e-02
0.70	0.50	5.2732932758e-02
0.70	0.60	5.5034150118e-02
0.70	0.70	NaN
0.70	0.80	2.3810899880e-02
0.70	0.90	4.6002407250e-02
0.70	1.00	6.2169524684e-02
0.70	1.10	7.3858983226e-02
0.70	1.20	8.2232432306e-02
0.70	1.30	8.8132901444e-02
0.70	1.40	9.2199916851e-02
0.70	1.50	9.4930386764e-02
0.70	1.60	9.6710396246e-02
0.70	1.70	9.7834643513e-02
0.70	1.80	9.8521544269e-02
0.70	1.90	9.8927150403e-02
