# Time r Q MSE
0.000000 0.000100 0.000100 0.516022
0.184872 0.012603 -0.000271 0.516059
0.369743 0.024877 -0.000322 0.516059
0.554615 0.036927 -0.000065 0.516059
0.739487 0.048755 0.000478 0.516537
1.030035 0.066909 0.001843 0.517902
1.320584 0.084543 0.003766 0.519825
1.611133 0.101672 0.006179 0.522238
1.901681 0.118311 0.009020 0.525079
2.150283 0.132168 0.011748 0.527806
2.398885 0.145686 0.014715 0.530774
2.647487 0.158871 0.017895 0.533953
2.896089 0.171733 0.021258 0.537317
3.164926 0.185286 0.025075 0.541133
3.433762 0.198480 0.029050 0.545109
3.702598 0.211324 0.033160 0.549218
3.971434 0.223827 0.037380 0.553439
4.257352 0.236761 0.041966 0.558025
4.543270 0.249330 0.046631 0.562690
4.829188 0.261546 0.051355 0.567413
5.115106 0.273416 0.056120 0.572176
5.420952 0.285745 0.061243 0.577296
5.726799 0.297702 0.066377 0.582423
6.032645 0.309300 0.071506 0.587540
6.338491 0.320549 0.076617 0.592632
6.667282 0.332267 0.082077 0.598061
6.996073 0.343607 0.087490 0.603430
7.324863 0.354585 0.092845 0.608725
7.653654 0.365211 0.098133 0.613934
8.009268 0.376324 0.103768 0.619459
8.364883 0.387057 0.109308 0.624863
8.720497 0.397424 0.114748 0.630138
9.076112 0.407440 0.120081 0.635277
9.463419 0.417965 0.125765 0.640715
9.850726 0.428107 0.131316 0.645983
10.238033 0.437882 0.136732 0.651082
10.625340 0.447307 0.142012 0.656010
11.050330 0.457263 0.147648 0.661224
11.475320 0.466834 0.153121 0.666237
11.900310 0.476037 0.158431 0.671054
12.325300 0.484890 0.163582 0.675681
12.795105 0.494287 0.169093 0.680580
13.264910 0.503296 0.174416 0.685261
13.734715 0.511936 0.179557 0.689733
14.204520 0.520226 0.184518 0.694005
14.727494 0.529061 0.189838 0.698536
15.250469 0.537504 0.194950 0.702841
15.773443 0.545575 0.199863 0.706933
16.296418 0.553295 0.204583 0.710823
16.882284 0.561547 0.209651 0.714954
17.468151 0.569403 0.214496 0.718860
18.054018 0.576885 0.219129 0.722554
18.639884 0.584014 0.223558 0.726050
19.299882 0.591647 0.228315 0.729766
19.959881 0.598880 0.232839 0.733262
20.619879 0.605739 0.237141 0.736552
21.279877 0.612245 0.241232 0.739651
22.026917 0.619209 0.245623 0.742943
22.773957 0.625774 0.249772 0.746024
23.520996 0.631965 0.253694 0.748909
24.268036 0.637807 0.257403 0.751613
25.117055 0.644049 0.261373 0.754481
25.966074 0.649897 0.265100 0.757149
26.815093 0.655377 0.268599 0.759634
27.664113 0.660515 0.271884 0.761948
28.633223 0.665990 0.275391 0.764398
29.602334 0.671081 0.278657 0.766662
30.571445 0.675816 0.281699 0.768755
31.540556 0.680222 0.284534 0.770692
32.635865 0.684836 0.287505 0.772709
33.731174 0.689091 0.290249 0.774559
34.826482 0.693018 0.292784 0.776258
35.921791 0.696642 0.295127 0.777819
37.104743 0.700245 0.297458 0.779364
38.287694 0.703552 0.299599 0.780775
39.470646 0.706587 0.301566 0.782066
40.653597 0.709374 0.303374 0.783247
41.936582 0.712141 0.305170 0.784415
43.219566 0.714664 0.306809 0.785477
44.502550 0.716966 0.308305 0.786442
45.785534 0.719067 0.309671 0.787321
47.177078 0.721139 0.311019 0.788186
48.568623 0.723015 0.312241 0.788967
49.960168 0.724715 0.313348 0.789673
51.351713 0.726255 0.314352 0.790312
52.863561 0.727766 0.315337 0.790937
54.375409 0.729124 0.316222 0.791498
55.887257 0.730344 0.317018 0.792001
57.399105 0.731441 0.317734 0.792453
59.046001 0.732510 0.318432 0.792893
60.692897 0.733463 0.319054 0.793284
62.339792 0.734311 0.319608 0.793632
63.986688 0.735067 0.320102 0.793942
65.787400 0.735800 0.320580 0.794242
67.588113 0.736446 0.321002 0.794506
69.388826 0.737015 0.321374 0.794739
71.189538 0.737517 0.321702 0.794944
73.168184 0.738000 0.322018 0.795141
75.146830 0.738421 0.322294 0.795313
77.125476 0.738787 0.322533 0.795462
79.104122 0.739107 0.322742 0.795592
81.292049 0.739412 0.322942 0.795717
83.479976 0.739674 0.323113 0.795824
85.667903 0.739899 0.323260 0.795915
